case_id,resource,activity,start_time,end_time
19,Clerk-000003,Check application form completeness,2023-02-10 09:30:00.000,2023-02-10 10:06:25.460
15,Loan Officer-000002,Design loan offer,2023-02-10 09:50:52.554,2023-02-10 10:10:24.532
16,Appraiser-000001,Appraise property,2023-02-10 08:53:54.811,2023-02-10 10:11:27.159
17,Appraiser-000001,Appraise property,2023-02-10 10:11:27.159,2023-02-10 10:13:04.335
19,Clerk-000002,Check credit history,2023-02-10 10:06:25.460,2023-02-10 10:14:56.341
20,Clerk-000001,Check credit history,2023-02-10 10:05:14.503,2023-02-10 10:17:17.038
13,Loan Officer-000001,Assess loan risk,2023-02-10 10:00:25.666,2023-02-10 10:20:25.666
13,Loan Officer-000002,Design loan offer,2023-02-10 10:20:25.666,2023-02-10 10:22:30.204
12,Clerk-000004,Check application form completeness,2023-02-10 09:55:17.813,2023-02-10 10:23:44.948
15,Senior Officer-000001,Approve loan offer,2023-02-10 10:10:24.532,2023-02-10 10:30:24.532
12,Clerk-000003,Check credit history,2023-02-10 10:23:44.948,2023-02-10 10:31:55.919
15,Clerk-000001,Cancel application,2023-02-10 10:30:24.532,2023-02-10 10:35:24.532
16,AML Investigator-000001,AML check,2023-02-10 09:30:52.554,2023-02-10 10:49:39.275
13,Senior Officer-000001,Approve loan offer,2023-02-10 10:30:24.532,2023-02-10 10:50:24.532
13,Clerk-000004,Cancel application,2023-02-10 10:50:24.532,2023-02-10 10:55:24.532
12,AML Investigator-000001,AML check,2023-02-10 10:49:39.275,2023-02-10 11:02:39.658
16,Loan Officer-000001,Assess loan risk,2023-02-10 10:49:39.275,2023-02-10 11:09:39.275
17,AML Investigator-000001,AML check,2023-02-10 11:02:39.658,2023-02-10 11:17:20.606
16,Loan Officer-000002,Design loan offer,2023-02-10 11:09:39.275,2023-02-10 11:20:32.931
18,Appraiser-000001,Appraise property,2023-02-10 10:13:04.335,2023-02-10 11:24:09.107
17,Loan Officer-000001,Assess loan risk,2023-02-10 11:17:20.606,2023-02-10 11:37:20.606
12,Appraiser-000001,Appraise property,2023-02-10 11:24:09.107,2023-02-10 11:37:41.313
22,Clerk-000003,Check application form completeness,2023-02-10 11:00:00.000,2023-02-10 11:38:20.226
23,Clerk-000001,Check application form completeness,2023-02-10 11:30:00.000,2023-02-10 11:38:21.890
16,Senior Officer-000001,Approve loan offer,2023-02-10 11:20:32.931,2023-02-10 11:40:32.931
17,Clerk-000004,Reject application,2023-02-10 11:37:20.606,2023-02-10 11:47:20.606
22,Clerk-000003,Check credit history,2023-02-10 11:38:20.226,2023-02-10 11:47:34.025
21,Clerk-000002,Check application form completeness,2023-02-10 10:30:00.000,2023-02-10 11:50:56.356
16,Clerk-000004,Cancel application,2023-02-10 11:47:20.606,2023-02-10 11:52:20.606
21,Clerk-000003,Return application back to applicant,2023-02-10 11:50:56.356,2023-02-10 11:55:56.356
12,Loan Officer-000002,Assess loan risk,2023-02-10 11:37:41.313,2023-02-10 11:57:41.313
19,Appraiser-000001,Appraise property,2023-02-10 11:37:41.313,2023-02-10 11:57:49.617
24,Clerk-000004,Check application form completeness,2023-02-10 12:00:00.000,2023-02-10 12:00:05.026
24,Clerk-000003,Return application back to applicant,2023-02-10 12:00:05.026,2023-02-10 12:05:05.026
12,Clerk-000002,Reject application,2023-02-10 11:57:41.313,2023-02-10 12:07:41.313
18,AML Investigator-000001,AML check,2023-02-10 11:17:20.606,2023-02-10 12:24:33.277
23,Clerk-000001,Check credit history,2023-02-10 11:38:21.890,2023-02-10 12:24:36.628
19,AML Investigator-000001,AML check,2023-02-10 12:24:33.277,2023-02-10 12:34:43.059
25,Clerk-000004,Check application form completeness,2023-02-10 12:30:00.000,2023-02-10 12:40:36.228
18,Loan Officer-000001,Assess loan risk,2023-02-10 12:24:33.277,2023-02-10 12:44:33.277
18,Loan Officer-000001,Design loan offer,2023-02-10 12:44:33.277,2023-02-10 12:45:54.951
19,Loan Officer-000002,Assess loan risk,2023-02-10 12:34:43.059,2023-02-10 12:54:43.059
21,Applicant-000001,Applicant completes form,2023-02-10 11:55:56.356,2023-02-10 12:55:56.356
19,Loan Officer-000001,Design loan offer,2023-02-10 12:54:43.059,2023-02-10 12:58:48.945
26,Clerk-000001,Check application form completeness,2023-02-10 13:00:00.000,2023-02-10 13:04:43.296
18,Senior Officer-000001,Approve loan offer,2023-02-10 12:45:54.951,2023-02-10 13:05:54.951
18,Clerk-000001,Approve application,2023-02-10 13:05:54.951,2023-02-10 13:10:54.951
25,Clerk-000003,Check credit history,2023-02-10 12:40:36.228,2023-02-10 13:10:56.183
20,Appraiser-000001,Appraise property,2023-02-10 11:57:49.617,2023-02-10 13:17:36.863
20,AML Investigator-000001,AML check,2023-02-10 12:34:43.059,2023-02-10 13:19:03.254
22,AML Investigator-000001,AML check,2023-02-10 13:19:03.254,2023-02-10 13:21:55.117
19,Senior Officer-000001,Approve loan offer,2023-02-10 13:05:54.951,2023-02-10 13:25:54.951
19,Clerk-000001,Cancel application,2023-02-10 13:25:54.951,2023-02-10 13:30:54.951
21,Clerk-000002,Check application form completeness,2023-02-10 12:55:56.356,2023-02-10 13:32:04.066
26,Clerk-000004,Check credit history,2023-02-10 13:04:43.296,2023-02-10 13:36:59.459
23,AML Investigator-000001,AML check,2023-02-10 13:21:55.117,2023-02-10 13:37:53.770
20,Loan Officer-000002,Assess loan risk,2023-02-10 13:19:03.254,2023-02-10 13:39:03.254
22,Appraiser-000001,Appraise property,2023-02-10 13:17:36.863,2023-02-10 13:45:01.783
27,Clerk-000003,Check application form completeness,2023-02-10 13:30:00.000,2023-02-10 13:48:26.032
21,Clerk-000001,Check credit history,2023-02-10 13:32:04.066,2023-02-10 13:48:28.701
20,Loan Officer-000001,Design loan offer,2023-02-10 13:39:03.254,2023-02-10 13:49:55.967
27,Clerk-000002,Return application back to applicant,2023-02-10 13:48:26.032,2023-02-10 13:53:26.032
24,Applicant-000001,Applicant completes form,2023-02-10 12:55:56.356,2023-02-10 13:55:56.356
21,AML Investigator-000001,AML check,2023-02-10 13:37:53.770,2023-02-10 13:56:49.778
22,Loan Officer-000002,Assess loan risk,2023-02-10 13:45:01.783,2023-02-10 14:05:01.783
28,Clerk-000003,Check application form completeness,2023-02-10 14:00:00.000,2023-02-10 14:06:01.033
20,Senior Officer-000001,Approve loan offer,2023-02-10 13:49:55.967,2023-02-10 14:09:55.967
25,AML Investigator-000001,AML check,2023-02-10 13:56:49.778,2023-02-10 14:11:13.058
20,Clerk-000002,Approve application,2023-02-10 14:09:55.967,2023-02-10 14:14:55.967
22,Loan Officer-000001,Design loan offer,2023-02-10 14:05:01.783,2023-02-10 14:15:54.133
26,AML Investigator-000001,AML check,2023-02-10 14:11:13.058,2023-02-10 14:25:59.979
22,Senior Officer-000001,Approve loan offer,2023-02-10 14:15:54.133,2023-02-10 14:35:54.133
28,Clerk-000001,Check credit history,2023-02-10 14:06:01.033,2023-02-10 14:40:00.217
22,Clerk-000002,Approve application,2023-02-10 14:35:54.133,2023-02-10 14:40:54.133
29,Clerk-000003,Check application form completeness,2023-02-10 14:30:00.000,2023-02-10 14:43:13.944
21,Appraiser-000001,Appraise property,2023-02-10 13:45:01.783,2023-02-10 14:45:11.560
24,Clerk-000004,Check application form completeness,2023-02-10 13:55:56.356,2023-02-10 14:46:59.953
27,Applicant-000001,Applicant completes form,2023-02-10 13:55:56.356,2023-02-10 14:55:56.356
28,AML Investigator-000001,AML check,2023-02-10 14:25:59.979,2023-02-10 14:58:40.024
27,Clerk-000003,Check application form completeness,2023-02-10 14:55:56.356,2023-02-13 07:00:23.495
24,Clerk-000002,Check credit history,2023-02-10 14:46:59.953,2023-02-13 07:02:22.558
21,Loan Officer-000002,Assess loan risk,2023-02-10 14:45:11.560,2023-02-13 07:05:11.560
21,Loan Officer-000001,Design loan offer,2023-02-13 07:05:11.560,2023-02-13 07:08:59.612
30,Clerk-000004,Check application form completeness,2023-02-10 15:00:00.000,2023-02-13 07:20:50.706
21,Senior Officer-000001,Approve loan offer,2023-02-13 07:08:59.612,2023-02-13 07:28:59.612
21,Clerk-000004,Approve application,2023-02-13 07:28:59.612,2023-02-13 07:33:59.612
23,Appraiser-000001,Appraise property,2023-02-10 14:45:11.560,2023-02-13 07:36:15.931
24,AML Investigator-000001,AML check,2023-02-10 14:58:40.024,2023-02-13 07:37:32.080
29,Clerk-000001,Check credit history,2023-02-10 14:43:13.944,2023-02-13 07:43:48.957
31,Clerk-000004,Check application form completeness,2023-02-13 07:33:59.612,2023-02-13 07:45:22.305
27,Clerk-000003,Check credit history,2023-02-13 07:00:23.495,2023-02-13 07:48:16.907
31,Clerk-000001,Return application back to applicant,2023-02-13 07:45:22.305,2023-02-13 07:50:22.305
30,Clerk-000002,Check credit history,2023-02-13 07:20:50.706,2023-02-13 07:52:56.238
23,Loan Officer-000002,Assess loan risk,2023-02-13 07:36:15.931,2023-02-13 07:56:15.931
32,Clerk-000003,Check application form completeness,2023-02-13 08:00:00.000,2023-02-13 08:00:43.905
24,Appraiser-000001,Appraise property,2023-02-13 07:36:15.931,2023-02-13 08:03:15.205
23,Clerk-000004,Reject application,2023-02-13 07:56:15.931,2023-02-13 08:06:15.931
27,AML Investigator-000001,AML check,2023-02-13 07:37:32.080,2023-02-13 08:21:54.011
24,Loan Officer-000001,Assess loan risk,2023-02-13 08:03:15.205,2023-02-13 08:23:15.205
29,AML Investigator-000001,AML check,2023-02-13 08:21:54.011,2023-02-13 08:25:21.800
32,Clerk-000001,Check credit history,2023-02-13 08:00:43.905,2023-02-13 08:29:02.088
24,Clerk-000002,Reject application,2023-02-13 08:23:15.205,2023-02-13 08:33:15.205
31,Applicant-000001,Applicant completes form,2023-02-13 07:50:22.305,2023-02-13 08:50:22.305
31,Clerk-000004,Check application form completeness,2023-02-13 08:50:22.305,2023-02-13 08:56:37.484
25,Appraiser-000001,Appraise property,2023-02-13 08:03:15.205,2023-02-13 08:56:46.459
26,Appraiser-000001,Appraise property,2023-02-13 08:56:46.459,2023-02-13 08:57:56.779
34,Clerk-000002,Check application form completeness,2023-02-13 09:00:00.000,2023-02-13 09:15:42.142
25,Loan Officer-000002,Assess loan risk,2023-02-13 08:56:46.459,2023-02-13 09:16:46.459
26,Loan Officer-000001,Assess loan risk,2023-02-13 08:57:56.779,2023-02-13 09:17:56.779
33,Clerk-000003,Check application form completeness,2023-02-13 08:30:00.000,2023-02-13 09:18:24.293
30,AML Investigator-000001,AML check,2023-02-13 08:25:21.800,2023-02-13 09:20:25.042
31,AML Investigator-000001,AML check,2023-02-13 09:20:25.042,2023-02-13 09:23:44.308
25,Clerk-000002,Reject application,2023-02-13 09:16:46.459,2023-02-13 09:26:46.459
26,Clerk-000003,Reject application,2023-02-13 09:18:24.293,2023-02-13 09:28:24.293
31,Clerk-000001,Check credit history,2023-02-13 08:56:37.484,2023-02-13 09:29:19.529
35,Clerk-000003,Check application form completeness,2023-02-13 09:30:00.000,2023-02-13 09:31:52.627
27,Appraiser-000001,Appraise property,2023-02-13 08:57:56.779,2023-02-13 09:34:14.915
32,AML Investigator-000001,AML check,2023-02-13 09:23:44.308,2023-02-13 09:46:44.171
27,Loan Officer-000002,Assess loan risk,2023-02-13 09:34:14.915,2023-02-13 09:54:14.915
33,AML Investigator-000001,AML check,2023-02-13 09:46:44.171,2023-02-13 10:01:50.270
27,Clerk-000003,Reject application,2023-02-13 09:54:14.915,2023-02-13 10:04:14.915
34,AML Investigator-000001,AML check,2023-02-13 10:01:50.270,2023-02-13 10:08:24.520
36,Clerk-000003,Check application form completeness,2023-02-13 10:04:14.915,2023-02-13 10:21:57.506
35,Clerk-000001,Check credit history,2023-02-13 09:31:52.627,2023-02-13 10:32:54.749
33,Clerk-000002,Check credit history,2023-02-13 09:26:46.459,2023-02-13 10:37:14.674
35,AML Investigator-000001,AML check,2023-02-13 10:08:24.520,2023-02-13 10:37:46.758
28,Appraiser-000001,Appraise property,2023-02-13 09:34:14.915,2023-02-13 10:43:37.550
37,Clerk-000001,Check application form completeness,2023-02-13 10:32:54.749,2023-02-13 10:46:23.199
37,Clerk-000002,Check credit history,2023-02-13 10:46:23.199,2023-02-13 10:50:40.497
36,Clerk-000003,Check credit history,2023-02-13 10:21:57.506,2023-02-13 11:02:39.970
28,Loan Officer-000001,Assess loan risk,2023-02-13 10:43:37.550,2023-02-13 11:03:37.550
28,Clerk-000002,Reject application,2023-02-13 11:03:37.550,2023-02-13 11:13:37.550
34,Clerk-000004,Check credit history,2023-02-13 09:15:42.142,2023-02-13 11:14:21.935
38,Clerk-000001,Check application form completeness,2023-02-13 11:00:00.000,2023-02-13 11:21:13.343
38,Clerk-000003,Return application back to applicant,2023-02-13 11:21:13.343,2023-02-13 11:26:13.343
29,Appraiser-000001,Appraise property,2023-02-13 10:43:37.550,2023-02-13 11:28:16.898
39,Clerk-000002,Check application form completeness,2023-02-13 11:30:00.000,2023-02-13 11:39:09.839
30,Appraiser-000001,Appraise property,2023-02-13 11:28:16.898,2023-02-13 11:43:36.493
29,Loan Officer-000002,Assess loan risk,2023-02-13 11:28:16.898,2023-02-13 11:48:16.898
36,AML Investigator-000001,AML check,2023-02-13 10:37:46.758,2023-02-13 11:49:08.703
37,AML Investigator-000001,AML check,2023-02-13 11:49:08.703,2023-02-13 11:51:32.711
39,Clerk-000004,Check credit history,2023-02-13 11:39:09.839,2023-02-13 11:55:41.259
29,Clerk-000001,Reject application,2023-02-13 11:48:16.898,2023-02-13 11:58:16.898
30,Loan Officer-000001,Assess loan risk,2023-02-13 11:43:36.493,2023-02-13 12:03:36.493
40,Clerk-000003,Check application form completeness,2023-02-13 12:00:00.000,2023-02-13 12:05:11.741
30,Loan Officer-000002,Design loan offer,2023-02-13 12:03:36.493,2023-02-13 12:15:50.989
40,Clerk-000002,Check credit history,2023-02-13 12:05:11.741,2023-02-13 12:25:56.020
38,Applicant-000001,Applicant completes form,2023-02-13 11:26:13.343,2023-02-13 12:26:13.343
41,Clerk-000001,Check application form completeness,2023-02-13 12:30:00.000,2023-02-13 12:35:47.908
30,Senior Officer-000001,Approve loan offer,2023-02-13 12:15:50.989,2023-02-13 12:35:50.989
38,Clerk-000004,Check application form completeness,2023-02-13 12:26:13.343,2023-02-13 12:37:15.737
31,Appraiser-000001,Appraise property,2023-02-13 11:43:36.493,2023-02-13 12:38:08.477
30,Clerk-000002,Approve application,2023-02-13 12:35:50.989,2023-02-13 12:40:50.989
38,Clerk-000001,Return application back to applicant,2023-02-13 12:37:15.737,2023-02-13 12:42:15.737
41,Clerk-000003,Check credit history,2023-02-13 12:35:47.908,2023-02-13 12:49:19.367
31,Loan Officer-000001,Assess loan risk,2023-02-13 12:38:08.477,2023-02-13 12:58:08.477
31,Clerk-000004,Reject application,2023-02-13 12:58:08.477,2023-02-13 13:08:08.477
39,AML Investigator-000001,AML check,2023-02-13 11:51:32.711,2023-02-13 13:12:03.940
40,AML Investigator-000001,AML check,2023-02-13 13:12:03.940,2023-02-13 13:19:20.854
41,AML Investigator-000001,AML check,2023-02-13 13:19:20.854,2023-02-13 13:25:48.340
38,Applicant-000001,Applicant completes form,2023-02-13 12:42:15.737,2023-02-13 13:42:15.737
43,Clerk-000001,Check application form completeness,2023-02-13 13:30:00.000,2023-02-13 13:45:08.363
42,Clerk-000002,Check application form completeness,2023-02-13 13:00:00.000,2023-02-13 13:54:46.863
32,Appraiser-000001,Appraise property,2023-02-13 12:38:08.477,2023-02-13 13:55:14.858
43,AML Investigator-000001,AML check,2023-02-13 13:45:08.363,2023-02-13 13:59:12.719
