,Unnamed: 0,activity_name,lifecycle:transition,resource,end_timestamp,Activity,Resource,case_id,case:variant,case:variant-index,case:creator,start_timestamp,agent
30,29,Validar solicitud,complete,19019,2016-02-03 14:54:00+00:00,Validar solicitud,19019,81801,Variant 15,15,Fluxicon Disco,2016-02-03 14:54:00+00:00,11
31,32,Traer informacion estudiante - banner,complete,8997,2016-02-03 14:22:13+00:00,Traer informacion estudiante - banner,8997,81802,Variant 2,2,Fluxicon Disco,2016-02-03 14:22:13+00:00,1
32,31,Start,complete,Start,2016-02-03 14:22:13+00:00,Start,Start,81802,Variant 2,2,Fluxicon Disco,2016-02-03 14:22:13+00:00,0
33,33,Radicar Solicitud Homologacion,complete,8997,2016-02-03 14:22:19+00:00,Radicar Solicitud Homologacion,8997,81802,Variant 2,2,Fluxicon Disco,2016-02-03 14:22:14+00:00,1
34,34,Validar solicitud,complete,387,2016-02-03 14:29:03+00:00,Validar solicitud,387,81802,Variant 2,2,Fluxicon Disco,2016-02-03 14:27:40+00:00,2
35,35,Homologacion por grupo de cursos,complete,1007,2016-02-04 00:39:09+00:00,Homologacion por grupo de cursos,1007,81802,Variant 2,2,Fluxicon Disco,2016-02-03 15:51:35+00:00,4
36,36,End,complete,End,2016-02-04 00:39:09+00:00,End,End,81802,Variant 2,2,Fluxicon Disco,2016-02-04 00:39:09+00:00,5
37,37,Start,complete,Start,2016-02-03 14:29:30+00:00,Start,Start,81803,Variant 2,2,Fluxicon Disco,2016-02-03 14:29:30+00:00,0
38,38,Traer informacion estudiante - banner,complete,8997,2016-02-03 14:29:30+00:00,Traer informacion estudiante - banner,8997,81803,Variant 2,2,Fluxicon Disco,2016-02-03 14:29:30+00:00,1
39,39,Radicar Solicitud Homologacion,complete,8997,2016-02-03 14:29:38+00:00,Radicar Solicitud Homologacion,8997,81803,Variant 2,2,Fluxicon Disco,2016-02-03 14:29:31+00:00,1
40,40,Validar solicitud,complete,387,2016-02-03 14:38:13+00:00,Validar solicitud,387,81803,Variant 2,2,Fluxicon Disco,2016-02-03 14:36:58+00:00,2
41,41,Homologacion por grupo de cursos,complete,22491,2016-02-03 18:57:36+00:00,Homologacion por grupo de cursos,22491,81803,Variant 2,2,Fluxicon Disco,2016-02-03 15:52:29+00:00,12
42,42,End,complete,End,2016-02-03 18:57:36+00:00,End,End,81803,Variant 2,2,Fluxicon Disco,2016-02-03 18:57:36+00:00,5
43,43,Start,complete,Start,2016-02-03 14:39:44+00:00,Start,Start,81804,Variant 2,2,Fluxicon Disco,2016-02-03 14:39:44+00:00,0
44,44,Traer informacion estudiante - banner,complete,8997,2016-02-03 14:39:44+00:00,Traer informacion estudiante - banner,8997,81804,Variant 2,2,Fluxicon Disco,2016-02-03 14:39:44+00:00,1
45,45,Radicar Solicitud Homologacion,complete,8997,2016-02-03 14:39:54+00:00,Radicar Solicitud Homologacion,8997,81804,Variant 2,2,Fluxicon Disco,2016-02-03 14:39:45+00:00,1
46,46,Validar solicitud,complete,387,2016-02-03 14:50:19+00:00,Validar solicitud,387,81804,Variant 2,2,Fluxicon Disco,2016-02-03 14:49:16+00:00,2
47,47,Homologacion por grupo de cursos,complete,1007,2016-02-03 16:12:02+00:00,Homologacion por grupo de cursos,1007,81804,Variant 2,2,Fluxicon Disco,2016-02-03 15:52:59+00:00,4
48,48,End,complete,End,2016-02-03 16:12:02+00:00,End,End,81804,Variant 2,2,Fluxicon Disco,2016-02-03 16:12:02+00:00,5
49,50,Traer informacion estudiante - banner,complete,8997,2016-02-03 14:54:27+00:00,Traer informacion estudiante - banner,8997,81805,Variant 2,2,Fluxicon Disco,2016-02-03 14:54:27+00:00,1
50,49,Start,complete,Start,2016-02-03 14:54:27+00:00,Start,Start,81805,Variant 2,2,Fluxicon Disco,2016-02-03 14:54:27+00:00,0
51,51,Radicar Solicitud Homologacion,complete,8997,2016-02-03 14:54:32+00:00,Radicar Solicitud Homologacion,8997,81805,Variant 2,2,Fluxicon Disco,2016-02-03 14:54:28+00:00,1
52,52,Validar solicitud,complete,387,2016-02-03 14:59:42+00:00,Validar solicitud,387,81805,Variant 2,2,Fluxicon Disco,2016-02-03 14:58:47+00:00,2
53,53,Homologacion por grupo de cursos,complete,1007,2016-02-03 16:13:43+00:00,Homologacion por grupo de cursos,1007,81805,Variant 2,2,Fluxicon Disco,2016-02-03 15:54:40+00:00,4
54,54,End,complete,End,2016-02-03 16:13:43+00:00,End,End,81805,Variant 2,2,Fluxicon Disco,2016-02-03 16:13:43+00:00,5
55,55,Start,complete,Start,2016-02-03 12:24:22+00:00,Start,Start,81851,Variant 1,1,Fluxicon Disco,2016-02-03 12:24:22+00:00,0
56,56,Traer informacion estudiante - banner,complete,955,2016-02-03 12:24:22+00:00,Traer informacion estudiante - banner,955,81851,Variant 1,1,Fluxicon Disco,2016-02-03 12:24:22+00:00,10
57,57,Radicar Solicitud Homologacion,complete,955,2016-02-03 12:30:27+00:00,Radicar Solicitud Homologacion,955,81851,Variant 1,1,Fluxicon Disco,2016-02-03 12:24:26+00:00,10
58,58,Cancelar Solicitud,complete,22475,2016-02-03 21:17:37+00:00,Cancelar Solicitud,22475,81851,Variant 1,1,Fluxicon Disco,2016-02-03 21:01:07+00:00,9
59,60,End,complete,End,2016-02-05 21:31:27+00:00,End,End,81851,Variant 1,1,Fluxicon Disco,2016-02-05 21:31:27+00:00,5
60,59,Notificacion estudiante cancelacion soli,complete,22475,2016-02-05 21:31:27+00:00,Notificacion estudiante cancelacion soli,22475,81851,Variant 1,1,Fluxicon Disco,2016-02-05 21:31:27+00:00,9
61,61,Start,complete,Start,2016-02-03 19:22:37+00:00,Start,Start,81951,Variant 1,1,Fluxicon Disco,2016-02-03 19:22:37+00:00,0
62,62,Traer informacion estudiante - banner,complete,8443,2016-02-03 19:22:37+00:00,Traer informacion estudiante - banner,8443,81951,Variant 1,1,Fluxicon Disco,2016-02-03 19:22:37+00:00,13
63,63,Radicar Solicitud Homologacion,complete,8443,2016-02-03 19:50:18+00:00,Radicar Solicitud Homologacion,8443,81951,Variant 1,1,Fluxicon Disco,2016-02-03 19:22:41+00:00,13
64,64,Cancelar Solicitud,complete,8443,2016-02-09 03:18:13+00:00,Cancelar Solicitud,8443,81951,Variant 1,1,Fluxicon Disco,2016-02-09 01:52:53+00:00,13
65,65,Notificacion estudiante cancelacion soli,complete,8443,2016-02-23 20:20:40+00:00,Notificacion estudiante cancelacion soli,8443,81951,Variant 1,1,Fluxicon Disco,2016-02-23 20:20:40+00:00,13
66,66,End,complete,End,2016-02-23 20:20:40+00:00,End,End,81951,Variant 1,1,Fluxicon Disco,2016-02-23 20:20:40+00:00,5
67,68,Traer informacion estudiante - banner,complete,955,2016-02-03 21:08:17+00:00,Traer informacion estudiante - banner,955,82008,Variant 2,2,Fluxicon Disco,2016-02-03 21:08:17+00:00,10
68,67,Start,complete,Start,2016-02-03 21:08:17+00:00,Start,Start,82008,Variant 2,2,Fluxicon Disco,2016-02-03 21:08:17+00:00,0
69,69,Radicar Solicitud Homologacion,complete,955,2016-02-03 21:08:29+00:00,Radicar Solicitud Homologacion,955,82008,Variant 2,2,Fluxicon Disco,2016-02-03 21:08:18+00:00,10
70,70,Validar solicitud,complete,1707,2016-02-03 22:04:55+00:00,Validar solicitud,1707,82008,Variant 2,2,Fluxicon Disco,2016-02-03 21:19:36+00:00,15
71,71,Homologacion por grupo de cursos,complete,15930,2016-02-11 18:55:40+00:00,Homologacion por grupo de cursos,15930,82008,Variant 2,2,Fluxicon Disco,2016-02-11 16:39:20+00:00,88
72,72,End,complete,End,2016-02-11 18:55:40+00:00,End,End,82008,Variant 2,2,Fluxicon Disco,2016-02-11 18:55:40+00:00,5
73,74,Traer informacion estudiante - banner,complete,955,2016-02-03 21:20:30+00:00,Traer informacion estudiante - banner,955,82009,Variant 2,2,Fluxicon Disco,2016-02-03 21:20:30+00:00,10
74,73,Start,complete,Start,2016-02-03 21:20:30+00:00,Start,Start,82009,Variant 2,2,Fluxicon Disco,2016-02-03 21:20:30+00:00,0
75,75,Radicar Solicitud Homologacion,complete,955,2016-02-03 21:20:39+00:00,Radicar Solicitud Homologacion,955,82009,Variant 2,2,Fluxicon Disco,2016-02-03 21:20:31+00:00,10
76,76,Validar solicitud,complete,1707,2016-02-03 22:13:51+00:00,Validar solicitud,1707,82009,Variant 2,2,Fluxicon Disco,2016-02-03 21:28:42+00:00,15
77,77,Homologacion por grupo de cursos,complete,15930,2016-02-11 18:51:10+00:00,Homologacion por grupo de cursos,15930,82009,Variant 2,2,Fluxicon Disco,2016-02-11 16:37:42+00:00,88
78,78,End,complete,End,2016-02-11 18:51:10+00:00,End,End,82009,Variant 2,2,Fluxicon Disco,2016-02-11 18:51:10+00:00,5
79,80,Traer informacion estudiante - banner,complete,18289,2016-02-04 00:15:40+00:00,Traer informacion estudiante - banner,18289,82054,Variant 2,2,Fluxicon Disco,2016-02-04 00:15:40+00:00,18
80,79,Start,complete,Start,2016-02-04 00:15:40+00:00,Start,Start,82054,Variant 2,2,Fluxicon Disco,2016-02-04 00:15:40+00:00,0
81,81,Radicar Solicitud Homologacion,complete,18289,2016-02-04 00:15:41+00:00,Radicar Solicitud Homologacion,18289,82054,Variant 2,2,Fluxicon Disco,2016-02-04 00:15:41+00:00,18
82,82,Validar solicitud,complete,22475,2016-02-04 00:48:23+00:00,Validar solicitud,22475,82054,Variant 2,2,Fluxicon Disco,2016-02-04 00:34:06+00:00,9
83,83,Homologacion por grupo de cursos,complete,1343,2016-02-05 21:50:08+00:00,Homologacion por grupo de cursos,1343,82054,Variant 2,2,Fluxicon Disco,2016-02-05 21:17:06+00:00,14
84,84,End,complete,End,2016-02-05 21:50:08+00:00,End,End,82054,Variant 2,2,Fluxicon Disco,2016-02-05 21:50:08+00:00,5
85,85,Start,complete,Start,2016-02-04 01:31:58+00:00,Start,Start,82101,Variant 2,2,Fluxicon Disco,2016-02-04 01:31:58+00:00,0
86,86,Traer informacion estudiante - banner,complete,16695,2016-02-04 01:31:58+00:00,Traer informacion estudiante - banner,16695,82101,Variant 2,2,Fluxicon Disco,2016-02-04 01:31:58+00:00,19
87,87,Radicar Solicitud Homologacion,complete,16695,2016-02-04 01:33:00+00:00,Radicar Solicitud Homologacion,16695,82101,Variant 2,2,Fluxicon Disco,2016-02-04 01:32:03+00:00,19
88,88,Validar solicitud,complete,659,2016-02-04 14:05:49+00:00,Validar solicitud,659,82101,Variant 2,2,Fluxicon Disco,2016-02-04 13:57:57+00:00,27
89,89,Homologacion por grupo de cursos,complete,1422,2016-02-05 13:51:10+00:00,Homologacion por grupo de cursos,1422,82101,Variant 2,2,Fluxicon Disco,2016-02-05 13:50:37+00:00,38
90,90,End,complete,End,2016-02-05 13:51:10+00:00,End,End,82101,Variant 2,2,Fluxicon Disco,2016-02-05 13:51:10+00:00,5
91,91,Start,complete,Start,2016-02-04 01:55:28+00:00,Start,Start,82102,Variant 2,2,Fluxicon Disco,2016-02-04 01:55:28+00:00,0
92,92,Traer informacion estudiante - banner,complete,528,2016-02-04 01:55:28+00:00,Traer informacion estudiante - banner,528,82102,Variant 2,2,Fluxicon Disco,2016-02-04 01:55:28+00:00,20
93,93,Radicar Solicitud Homologacion,complete,528,2016-02-04 01:55:29+00:00,Radicar Solicitud Homologacion,528,82102,Variant 2,2,Fluxicon Disco,2016-02-04 01:55:29+00:00,20
94,94,Validar solicitud,complete,716,2016-02-04 03:46:17+00:00,Validar solicitud,716,82102,Variant 2,2,Fluxicon Disco,2016-02-04 03:18:54+00:00,21
95,95,Homologacion por grupo de cursos,complete,7394,2016-02-09 17:52:30+00:00,Homologacion por grupo de cursos,7394,82102,Variant 2,2,Fluxicon Disco,2016-02-09 16:23:47+00:00,71
96,96,End,complete,End,2016-02-09 17:52:30+00:00,End,End,82102,Variant 2,2,Fluxicon Disco,2016-02-09 17:52:30+00:00,5
97,97,Start,complete,Start,2016-02-03 23:39:02+00:00,Start,Start,82151,Variant 1,1,Fluxicon Disco,2016-02-03 23:39:02+00:00,0
98,98,Traer informacion estudiante - banner,complete,6186,2016-02-03 23:39:02+00:00,Traer informacion estudiante - banner,6186,82151,Variant 1,1,Fluxicon Disco,2016-02-03 23:39:02+00:00,16
99,99,Radicar Solicitud Homologacion,complete,6186,2016-02-03 23:39:07+00:00,Radicar Solicitud Homologacion,6186,82151,Variant 1,1,Fluxicon Disco,2016-02-03 23:39:07+00:00,16
100,100,Cancelar Solicitud,complete,22404,2016-02-04 00:45:05+00:00,Cancelar Solicitud,22404,82151,Variant 1,1,Fluxicon Disco,2016-02-03 23:55:20+00:00,17
101,101,Notificacion estudiante cancelacion soli,complete,22404,2016-02-12 14:45:53+00:00,Notificacion estudiante cancelacion soli,22404,82151,Variant 1,1,Fluxicon Disco,2016-02-12 14:45:53+00:00,17
102,102,End,complete,End,2016-02-12 14:45:53+00:00,End,End,82151,Variant 1,1,Fluxicon Disco,2016-02-12 14:45:53+00:00,5
103,103,Start,complete,Start,2016-02-04 04:20:38+00:00,Start,Start,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:20:38+00:00,0
104,104,Traer informacion estudiante - banner,complete,8916,2016-02-04 04:20:38+00:00,Traer informacion estudiante - banner,8916,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:20:38+00:00,6
105,105,Radicar Solicitud Homologacion,complete,8916,2016-02-04 04:20:41+00:00,Radicar Solicitud Homologacion,8916,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:20:41+00:00,6
106,107,Cancelar Solicitud,complete,8916,2016-02-04 05:07:51+00:00,Cancelar Solicitud,8916,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:28:26+00:00,6
107,106,Validar solicitud,complete,669,2016-02-04 04:38:22+00:00,Validar solicitud,669,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:28:26+00:00,8
108,109,End,complete,End,2016-02-10 22:25:56+00:00,End,End,82251,Variant 9,9,Fluxicon Disco,2016-02-10 22:25:56+00:00,5
109,108,Notificacion estudiante cancelacion soli,complete,8916,2016-02-10 22:25:56+00:00,Notificacion estudiante cancelacion soli,8916,82251,Variant 9,9,Fluxicon Disco,2016-02-10 22:25:56+00:00,6
110,111,Traer informacion estudiante - banner,complete,8186,2016-02-04 05:55:23+00:00,Traer informacion estudiante - banner,8186,82301,Variant 43,43,Fluxicon Disco,2016-02-04 05:55:23+00:00,22
111,110,Start,complete,Start,2016-02-04 05:55:23+00:00,Start,Start,82301,Variant 43,43,Fluxicon Disco,2016-02-04 05:55:23+00:00,0
112,112,Radicar Solicitud Homologacion,complete,8186,2016-02-04 06:07:46+00:00,Radicar Solicitud Homologacion,8186,82301,Variant 43,43,Fluxicon Disco,2016-02-04 05:55:26+00:00,22
113,115,Recepcion de documentos,complete,26789,2016-02-06 05:33:26+00:00,Recepcion de documentos,26789,82301,Variant 43,43,Fluxicon Disco,2016-02-05 17:25:26+00:00,44
114,116,Homologacion por grupo de cursos,complete,1007,2016-02-06 05:42:52+00:00,Homologacion por grupo de cursos,1007,82301,Variant 43,43,Fluxicon Disco,2016-02-05 17:25:27+00:00,4
115,113,Validar solicitud,complete,387,2016-02-05 19:20:17+00:00,Validar solicitud,387,82301,Variant 43,43,Fluxicon Disco,2016-02-05 19:20:17+00:00,2
116,114,End,complete,End,2016-02-05 19:20:17+00:00,End,End,82301,Variant 43,43,Fluxicon Disco,2016-02-05 19:20:17+00:00,5
117,118,Traer informacion estudiante - banner,complete,8528,2016-02-04 12:47:27+00:00,Traer informacion estudiante - banner,8528,82503,Variant 1,1,Fluxicon Disco,2016-02-04 12:47:27+00:00,23
118,117,Start,complete,Start,2016-02-04 12:47:27+00:00,Start,Start,82503,Variant 1,1,Fluxicon Disco,2016-02-04 12:47:27+00:00,0
119,119,Radicar Solicitud Homologacion,complete,8528,2016-02-04 12:47:36+00:00,Radicar Solicitud Homologacion,8528,82503,Variant 1,1,Fluxicon Disco,2016-02-04 12:47:30+00:00,23
120,120,Cancelar Solicitud,complete,8528,2016-02-04 13:06:28+00:00,Cancelar Solicitud,8528,82503,Variant 1,1,Fluxicon Disco,2016-02-04 13:06:17+00:00,23
121,122,End,complete,End,2016-02-04 13:18:12+00:00,End,End,82503,Variant 1,1,Fluxicon Disco,2016-02-04 13:18:12+00:00,5
122,121,Notificacion estudiante cancelacion soli,complete,8528,2016-02-04 13:18:12+00:00,Notificacion estudiante cancelacion soli,8528,82503,Variant 1,1,Fluxicon Disco,2016-02-04 13:18:12+00:00,23
123,123,Start,complete,Start,2016-02-04 13:06:44+00:00,Start,Start,82505,Variant 1,1,Fluxicon Disco,2016-02-04 13:06:44+00:00,0
124,124,Traer informacion estudiante - banner,complete,8528,2016-02-04 13:06:44+00:00,Traer informacion estudiante - banner,8528,82505,Variant 1,1,Fluxicon Disco,2016-02-04 13:06:44+00:00,23
125,125,Radicar Solicitud Homologacion,complete,8528,2016-02-04 13:06:50+00:00,Radicar Solicitud Homologacion,8528,82505,Variant 1,1,Fluxicon Disco,2016-02-04 13:06:45+00:00,23
126,126,Cancelar Solicitud,complete,1707,2016-02-04 13:56:14+00:00,Cancelar Solicitud,1707,82505,Variant 1,1,Fluxicon Disco,2016-02-04 13:12:27+00:00,15
127,127,Notificacion estudiante cancelacion soli,complete,1707,2016-02-11 17:15:32+00:00,Notificacion estudiante cancelacion soli,1707,82505,Variant 1,1,Fluxicon Disco,2016-02-11 17:15:32+00:00,15
128,128,End,complete,End,2016-02-11 17:15:32+00:00,End,End,82505,Variant 1,1,Fluxicon Disco,2016-02-11 17:15:32+00:00,5
129,129,Start,complete,Start,2016-02-04 13:16:32+00:00,Start,Start,82506,Variant 2,2,Fluxicon Disco,2016-02-04 13:16:32+00:00,0
130,130,Traer informacion estudiante - banner,complete,2804,2016-02-04 13:16:32+00:00,Traer informacion estudiante - banner,2804,82506,Variant 2,2,Fluxicon Disco,2016-02-04 13:16:32+00:00,24
131,131,Radicar Solicitud Homologacion,complete,2804,2016-02-04 13:16:40+00:00,Radicar Solicitud Homologacion,2804,82506,Variant 2,2,Fluxicon Disco,2016-02-04 13:16:33+00:00,24
132,132,Validar solicitud,complete,677,2016-02-04 13:40:05+00:00,Validar solicitud,677,82506,Variant 2,2,Fluxicon Disco,2016-02-04 13:24:30+00:00,26
133,133,Homologacion por grupo de cursos,complete,3445,2016-02-08 14:24:31+00:00,Homologacion por grupo de cursos,3445,82506,Variant 2,2,Fluxicon Disco,2016-02-08 12:36:31+00:00,61
134,134,End,complete,End,2016-02-08 14:24:31+00:00,End,End,82506,Variant 2,2,Fluxicon Disco,2016-02-08 14:24:31+00:00,5
135,136,Traer informacion estudiante - banner,complete,8528,2016-02-04 13:18:19+00:00,Traer informacion estudiante - banner,8528,82507,Variant 2,2,Fluxicon Disco,2016-02-04 13:18:19+00:00,23
136,135,Start,complete,Start,2016-02-04 13:18:19+00:00,Start,Start,82507,Variant 2,2,Fluxicon Disco,2016-02-04 13:18:19+00:00,0
137,137,Radicar Solicitud Homologacion,complete,8528,2016-02-04 13:18:21+00:00,Radicar Solicitud Homologacion,8528,82507,Variant 2,2,Fluxicon Disco,2016-02-04 13:18:20+00:00,23
138,138,Validar solicitud,complete,6694,2016-02-04 13:29:27+00:00,Validar solicitud,6694,82507,Variant 2,2,Fluxicon Disco,2016-02-04 13:19:58+00:00,25
139,139,Homologacion por grupo de cursos,complete,6990,2016-02-05 17:23:54+00:00,Homologacion por grupo de cursos,6990,82507,Variant 2,2,Fluxicon Disco,2016-02-05 14:49:44+00:00,40
140,140,End,complete,End,2016-02-05 17:23:54+00:00,End,End,82507,Variant 2,2,Fluxicon Disco,2016-02-05 17:23:54+00:00,5
141,141,Start,complete,Start,2016-02-04 13:24:47+00:00,Start,Start,82508,Variant 2,2,Fluxicon Disco,2016-02-04 13:24:47+00:00,0
142,142,Traer informacion estudiante - banner,complete,8528,2016-02-04 13:24:47+00:00,Traer informacion estudiante - banner,8528,82508,Variant 2,2,Fluxicon Disco,2016-02-04 13:24:47+00:00,23
143,143,Radicar Solicitud Homologacion,complete,8528,2016-02-04 13:24:57+00:00,Radicar Solicitud Homologacion,8528,82508,Variant 2,2,Fluxicon Disco,2016-02-04 13:24:49+00:00,23
144,144,Validar solicitud,complete,1707,2016-02-04 14:17:00+00:00,Validar solicitud,1707,82508,Variant 2,2,Fluxicon Disco,2016-02-04 13:33:34+00:00,15
145,145,Homologacion por grupo de cursos,complete,15930,2016-02-11 19:57:32+00:00,Homologacion por grupo de cursos,15930,82508,Variant 2,2,Fluxicon Disco,2016-02-11 17:12:01+00:00,88
146,146,End,complete,End,2016-02-11 19:57:32+00:00,End,End,82508,Variant 2,2,Fluxicon Disco,2016-02-11 19:57:32+00:00,5
147,148,Traer informacion estudiante - banner,complete,8450,2016-02-04 19:15:57+00:00,Traer informacion estudiante - banner,8450,82604,Variant 2,2,Fluxicon Disco,2016-02-04 19:15:57+00:00,28
148,147,Start,complete,Start,2016-02-04 19:15:57+00:00,Start,Start,82604,Variant 2,2,Fluxicon Disco,2016-02-04 19:15:57+00:00,0
149,149,Radicar Solicitud Homologacion,complete,8450,2016-02-04 19:16:08+00:00,Radicar Solicitud Homologacion,8450,82604,Variant 2,2,Fluxicon Disco,2016-02-04 19:16:00+00:00,28
150,150,Validar solicitud,complete,18929,2016-02-04 21:03:47+00:00,Validar solicitud,18929,82604,Variant 2,2,Fluxicon Disco,2016-02-04 19:24:12+00:00,29
151,151,Homologacion por grupo de cursos,complete,18929,2016-02-23 19:50:58+00:00,Homologacion por grupo de cursos,18929,82604,Variant 2,2,Fluxicon Disco,2016-02-23 11:00:08+00:00,29
152,152,End,complete,End,2016-02-23 19:50:58+00:00,End,End,82604,Variant 2,2,Fluxicon Disco,2016-02-23 19:50:58+00:00,5
153,154,Traer informacion estudiante - banner,complete,2925,2016-02-04 21:01:04+00:00,Traer informacion estudiante - banner,2925,82651,Variant 2,2,Fluxicon Disco,2016-02-04 21:01:04+00:00,30
154,153,Start,complete,Start,2016-02-04 21:01:04+00:00,Start,Start,82651,Variant 2,2,Fluxicon Disco,2016-02-04 21:01:04+00:00,0
155,155,Radicar Solicitud Homologacion,complete,2925,2016-02-04 21:01:33+00:00,Radicar Solicitud Homologacion,2925,82651,Variant 2,2,Fluxicon Disco,2016-02-04 21:01:08+00:00,30
