,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator,start_timestamp
31,Start,complete,Start,2016-02-03 14:22:13+00:00,Start,Start,81802,Variant 2,2,Fluxicon Disco,2016-02-03 14:22:13+00:00
32,Traer informacion estudiante - banner,complete,8997,2016-02-03 14:22:13+00:00,Traer informacion estudiante - banner,8997,81802,Variant 2,2,Fluxicon Disco,2016-02-03 14:22:13+00:00
33,Radicar Solicitud Homologacion,complete,8997,2016-02-03 14:22:19+00:00,Radicar Solicitud Homologacion,8997,81802,Variant 2,2,Fluxicon Disco,2016-02-03 14:22:14+00:00
34,Validar solicitud,complete,387,2016-02-03 14:29:03+00:00,Validar solicitud,387,81802,Variant 2,2,Fluxicon Disco,2016-02-03 14:27:40+00:00
35,Homologacion por grupo de cursos,complete,1007,2016-02-04 00:39:09+00:00,Homologacion por grupo de cursos,1007,81802,Variant 2,2,Fluxicon Disco,2016-02-03 15:51:35+00:00
36,End,complete,End,2016-02-04 00:39:09+00:00,End,End,81802,Variant 2,2,Fluxicon Disco,2016-02-04 00:39:09+00:00
37,Start,complete,Start,2016-02-03 14:29:30+00:00,Start,Start,81803,Variant 2,2,Fluxicon Disco,2016-02-03 14:29:30+00:00
38,Traer informacion estudiante - banner,complete,8997,2016-02-03 14:29:30+00:00,Traer informacion estudiante - banner,8997,81803,Variant 2,2,Fluxicon Disco,2016-02-03 14:29:30+00:00
39,Radicar Solicitud Homologacion,complete,8997,2016-02-03 14:29:38+00:00,Radicar Solicitud Homologacion,8997,81803,Variant 2,2,Fluxicon Disco,2016-02-03 14:29:31+00:00
40,Validar solicitud,complete,387,2016-02-03 14:38:13+00:00,Validar solicitud,387,81803,Variant 2,2,Fluxicon Disco,2016-02-03 14:36:58+00:00
41,Homologacion por grupo de cursos,complete,22491,2016-02-03 18:57:36+00:00,Homologacion por grupo de cursos,22491,81803,Variant 2,2,Fluxicon Disco,2016-02-03 15:52:29+00:00
42,End,complete,End,2016-02-03 18:57:36+00:00,End,End,81803,Variant 2,2,Fluxicon Disco,2016-02-03 18:57:36+00:00
43,Start,complete,Start,2016-02-03 14:39:44+00:00,Start,Start,81804,Variant 2,2,Fluxicon Disco,2016-02-03 14:39:44+00:00
44,Traer informacion estudiante - banner,complete,8997,2016-02-03 14:39:44+00:00,Traer informacion estudiante - banner,8997,81804,Variant 2,2,Fluxicon Disco,2016-02-03 14:39:44+00:00
45,Radicar Solicitud Homologacion,complete,8997,2016-02-03 14:39:54+00:00,Radicar Solicitud Homologacion,8997,81804,Variant 2,2,Fluxicon Disco,2016-02-03 14:39:45+00:00
46,Validar solicitud,complete,387,2016-02-03 14:50:19+00:00,Validar solicitud,387,81804,Variant 2,2,Fluxicon Disco,2016-02-03 14:49:16+00:00
47,Homologacion por grupo de cursos,complete,1007,2016-02-03 16:12:02+00:00,Homologacion por grupo de cursos,1007,81804,Variant 2,2,Fluxicon Disco,2016-02-03 15:52:59+00:00
48,End,complete,End,2016-02-03 16:12:02+00:00,End,End,81804,Variant 2,2,Fluxicon Disco,2016-02-03 16:12:02+00:00
49,Start,complete,Start,2016-02-03 14:54:27+00:00,Start,Start,81805,Variant 2,2,Fluxicon Disco,2016-02-03 14:54:27+00:00
50,Traer informacion estudiante - banner,complete,8997,2016-02-03 14:54:27+00:00,Traer informacion estudiante - banner,8997,81805,Variant 2,2,Fluxicon Disco,2016-02-03 14:54:27+00:00
51,Radicar Solicitud Homologacion,complete,8997,2016-02-03 14:54:32+00:00,Radicar Solicitud Homologacion,8997,81805,Variant 2,2,Fluxicon Disco,2016-02-03 14:54:28+00:00
52,Validar solicitud,complete,387,2016-02-03 14:59:42+00:00,Validar solicitud,387,81805,Variant 2,2,Fluxicon Disco,2016-02-03 14:58:47+00:00
53,Homologacion por grupo de cursos,complete,1007,2016-02-03 16:13:43+00:00,Homologacion por grupo de cursos,1007,81805,Variant 2,2,Fluxicon Disco,2016-02-03 15:54:40+00:00
54,End,complete,End,2016-02-03 16:13:43+00:00,End,End,81805,Variant 2,2,Fluxicon Disco,2016-02-03 16:13:43+00:00
55,Start,complete,Start,2016-02-03 12:24:22+00:00,Start,Start,81851,Variant 1,1,Fluxicon Disco,2016-02-03 12:24:22+00:00
56,Traer informacion estudiante - banner,complete,955,2016-02-03 12:24:22+00:00,Traer informacion estudiante - banner,955,81851,Variant 1,1,Fluxicon Disco,2016-02-03 12:24:22+00:00
57,Radicar Solicitud Homologacion,complete,955,2016-02-03 12:30:27+00:00,Radicar Solicitud Homologacion,955,81851,Variant 1,1,Fluxicon Disco,2016-02-03 12:24:26+00:00
58,Cancelar Solicitud,complete,22475,2016-02-03 21:17:37+00:00,Cancelar Solicitud,22475,81851,Variant 1,1,Fluxicon Disco,2016-02-03 21:01:07+00:00
59,Notificacion estudiante cancelacion soli,complete,22475,2016-02-05 21:31:27+00:00,Notificacion estudiante cancelacion soli,22475,81851,Variant 1,1,Fluxicon Disco,2016-02-05 21:31:27+00:00
60,End,complete,End,2016-02-05 21:31:27+00:00,End,End,81851,Variant 1,1,Fluxicon Disco,2016-02-05 21:31:27+00:00
61,Start,complete,Start,2016-02-03 19:22:37+00:00,Start,Start,81951,Variant 1,1,Fluxicon Disco,2016-02-03 19:22:37+00:00
62,Traer informacion estudiante - banner,complete,8443,2016-02-03 19:22:37+00:00,Traer informacion estudiante - banner,8443,81951,Variant 1,1,Fluxicon Disco,2016-02-03 19:22:37+00:00
63,Radicar Solicitud Homologacion,complete,8443,2016-02-03 19:50:18+00:00,Radicar Solicitud Homologacion,8443,81951,Variant 1,1,Fluxicon Disco,2016-02-03 19:22:41+00:00
64,Cancelar Solicitud,complete,8443,2016-02-09 03:18:13+00:00,Cancelar Solicitud,8443,81951,Variant 1,1,Fluxicon Disco,2016-02-09 01:52:53+00:00
65,Notificacion estudiante cancelacion soli,complete,8443,2016-02-23 20:20:40+00:00,Notificacion estudiante cancelacion soli,8443,81951,Variant 1,1,Fluxicon Disco,2016-02-23 20:20:40+00:00
66,End,complete,End,2016-02-23 20:20:40+00:00,End,End,81951,Variant 1,1,Fluxicon Disco,2016-02-23 20:20:40+00:00
67,Start,complete,Start,2016-02-03 21:08:17+00:00,Start,Start,82008,Variant 2,2,Fluxicon Disco,2016-02-03 21:08:17+00:00
68,Traer informacion estudiante - banner,complete,955,2016-02-03 21:08:17+00:00,Traer informacion estudiante - banner,955,82008,Variant 2,2,Fluxicon Disco,2016-02-03 21:08:17+00:00
69,Radicar Solicitud Homologacion,complete,955,2016-02-03 21:08:29+00:00,Radicar Solicitud Homologacion,955,82008,Variant 2,2,Fluxicon Disco,2016-02-03 21:08:18+00:00
70,Validar solicitud,complete,1707,2016-02-03 22:04:55+00:00,Validar solicitud,1707,82008,Variant 2,2,Fluxicon Disco,2016-02-03 21:19:36+00:00
71,Homologacion por grupo de cursos,complete,15930,2016-02-11 18:55:40+00:00,Homologacion por grupo de cursos,15930,82008,Variant 2,2,Fluxicon Disco,2016-02-11 16:39:20+00:00
72,End,complete,End,2016-02-11 18:55:40+00:00,End,End,82008,Variant 2,2,Fluxicon Disco,2016-02-11 18:55:40+00:00
73,Start,complete,Start,2016-02-03 21:20:30+00:00,Start,Start,82009,Variant 2,2,Fluxicon Disco,2016-02-03 21:20:30+00:00
74,Traer informacion estudiante - banner,complete,955,2016-02-03 21:20:30+00:00,Traer informacion estudiante - banner,955,82009,Variant 2,2,Fluxicon Disco,2016-02-03 21:20:30+00:00
75,Radicar Solicitud Homologacion,complete,955,2016-02-03 21:20:39+00:00,Radicar Solicitud Homologacion,955,82009,Variant 2,2,Fluxicon Disco,2016-02-03 21:20:31+00:00
76,Validar solicitud,complete,1707,2016-02-03 22:13:51+00:00,Validar solicitud,1707,82009,Variant 2,2,Fluxicon Disco,2016-02-03 21:28:42+00:00
77,Homologacion por grupo de cursos,complete,15930,2016-02-11 18:51:10+00:00,Homologacion por grupo de cursos,15930,82009,Variant 2,2,Fluxicon Disco,2016-02-11 16:37:42+00:00
78,End,complete,End,2016-02-11 18:51:10+00:00,End,End,82009,Variant 2,2,Fluxicon Disco,2016-02-11 18:51:10+00:00
79,Start,complete,Start,2016-02-04 00:15:40+00:00,Start,Start,82054,Variant 2,2,Fluxicon Disco,2016-02-04 00:15:40+00:00
80,Traer informacion estudiante - banner,complete,18289,2016-02-04 00:15:40+00:00,Traer informacion estudiante - banner,18289,82054,Variant 2,2,Fluxicon Disco,2016-02-04 00:15:40+00:00
81,Radicar Solicitud Homologacion,complete,18289,2016-02-04 00:15:41+00:00,Radicar Solicitud Homologacion,18289,82054,Variant 2,2,Fluxicon Disco,2016-02-04 00:15:41+00:00
82,Validar solicitud,complete,22475,2016-02-04 00:48:23+00:00,Validar solicitud,22475,82054,Variant 2,2,Fluxicon Disco,2016-02-04 00:34:06+00:00
83,Homologacion por grupo de cursos,complete,1343,2016-02-05 21:50:08+00:00,Homologacion por grupo de cursos,1343,82054,Variant 2,2,Fluxicon Disco,2016-02-05 21:17:06+00:00
84,End,complete,End,2016-02-05 21:50:08+00:00,End,End,82054,Variant 2,2,Fluxicon Disco,2016-02-05 21:50:08+00:00
85,Start,complete,Start,2016-02-04 01:31:58+00:00,Start,Start,82101,Variant 2,2,Fluxicon Disco,2016-02-04 01:31:58+00:00
86,Traer informacion estudiante - banner,complete,16695,2016-02-04 01:31:58+00:00,Traer informacion estudiante - banner,16695,82101,Variant 2,2,Fluxicon Disco,2016-02-04 01:31:58+00:00
87,Radicar Solicitud Homologacion,complete,16695,2016-02-04 01:33:00+00:00,Radicar Solicitud Homologacion,16695,82101,Variant 2,2,Fluxicon Disco,2016-02-04 01:32:03+00:00
88,Validar solicitud,complete,659,2016-02-04 14:05:49+00:00,Validar solicitud,659,82101,Variant 2,2,Fluxicon Disco,2016-02-04 13:57:57+00:00
89,Homologacion por grupo de cursos,complete,1422,2016-02-05 13:51:10+00:00,Homologacion por grupo de cursos,1422,82101,Variant 2,2,Fluxicon Disco,2016-02-05 13:50:37+00:00
90,End,complete,End,2016-02-05 13:51:10+00:00,End,End,82101,Variant 2,2,Fluxicon Disco,2016-02-05 13:51:10+00:00
91,Start,complete,Start,2016-02-04 01:55:28+00:00,Start,Start,82102,Variant 2,2,Fluxicon Disco,2016-02-04 01:55:28+00:00
92,Traer informacion estudiante - banner,complete,528,2016-02-04 01:55:28+00:00,Traer informacion estudiante - banner,528,82102,Variant 2,2,Fluxicon Disco,2016-02-04 01:55:28+00:00
93,Radicar Solicitud Homologacion,complete,528,2016-02-04 01:55:29+00:00,Radicar Solicitud Homologacion,528,82102,Variant 2,2,Fluxicon Disco,2016-02-04 01:55:29+00:00
94,Validar solicitud,complete,716,2016-02-04 03:46:17+00:00,Validar solicitud,716,82102,Variant 2,2,Fluxicon Disco,2016-02-04 03:18:54+00:00
95,Homologacion por grupo de cursos,complete,7394,2016-02-09 17:52:30+00:00,Homologacion por grupo de cursos,7394,82102,Variant 2,2,Fluxicon Disco,2016-02-09 16:23:47+00:00
96,End,complete,End,2016-02-09 17:52:30+00:00,End,End,82102,Variant 2,2,Fluxicon Disco,2016-02-09 17:52:30+00:00
97,Start,complete,Start,2016-02-03 23:39:02+00:00,Start,Start,82151,Variant 1,1,Fluxicon Disco,2016-02-03 23:39:02+00:00
98,Traer informacion estudiante - banner,complete,6186,2016-02-03 23:39:02+00:00,Traer informacion estudiante - banner,6186,82151,Variant 1,1,Fluxicon Disco,2016-02-03 23:39:02+00:00
99,Radicar Solicitud Homologacion,complete,6186,2016-02-03 23:39:07+00:00,Radicar Solicitud Homologacion,6186,82151,Variant 1,1,Fluxicon Disco,2016-02-03 23:39:07+00:00
100,Cancelar Solicitud,complete,22404,2016-02-04 00:45:05+00:00,Cancelar Solicitud,22404,82151,Variant 1,1,Fluxicon Disco,2016-02-03 23:55:20+00:00
101,Notificacion estudiante cancelacion soli,complete,22404,2016-02-12 14:45:53+00:00,Notificacion estudiante cancelacion soli,22404,82151,Variant 1,1,Fluxicon Disco,2016-02-12 14:45:53+00:00
102,End,complete,End,2016-02-12 14:45:53+00:00,End,End,82151,Variant 1,1,Fluxicon Disco,2016-02-12 14:45:53+00:00
103,Start,complete,Start,2016-02-04 04:20:38+00:00,Start,Start,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:20:38+00:00
104,Traer informacion estudiante - banner,complete,8916,2016-02-04 04:20:38+00:00,Traer informacion estudiante - banner,8916,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:20:38+00:00
105,Radicar Solicitud Homologacion,complete,8916,2016-02-04 04:20:41+00:00,Radicar Solicitud Homologacion,8916,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:20:41+00:00
106,Validar solicitud,complete,669,2016-02-04 04:38:22+00:00,Validar solicitud,669,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:28:26+00:00
107,Cancelar Solicitud,complete,8916,2016-02-04 05:07:51+00:00,Cancelar Solicitud,8916,82251,Variant 9,9,Fluxicon Disco,2016-02-04 04:28:26+00:00
108,Notificacion estudiante cancelacion soli,complete,8916,2016-02-10 22:25:56+00:00,Notificacion estudiante cancelacion soli,8916,82251,Variant 9,9,Fluxicon Disco,2016-02-10 22:25:56+00:00
109,End,complete,End,2016-02-10 22:25:56+00:00,End,End,82251,Variant 9,9,Fluxicon Disco,2016-02-10 22:25:56+00:00
110,Start,complete,Start,2016-02-04 05:55:23+00:00,Start,Start,82301,Variant 43,43,Fluxicon Disco,2016-02-04 05:55:23+00:00
111,Traer informacion estudiante - banner,complete,8186,2016-02-04 05:55:23+00:00,Traer informacion estudiante - banner,8186,82301,Variant 43,43,Fluxicon Disco,2016-02-04 05:55:23+00:00
112,Radicar Solicitud Homologacion,complete,8186,2016-02-04 06:07:46+00:00,Radicar Solicitud Homologacion,8186,82301,Variant 43,43,Fluxicon Disco,2016-02-04 05:55:26+00:00
113,Validar solicitud,complete,387,2016-02-05 19:20:17+00:00,Validar solicitud,387,82301,Variant 43,43,Fluxicon Disco,2016-02-05 19:20:17+00:00
114,End,complete,End,2016-02-05 19:20:17+00:00,End,End,82301,Variant 43,43,Fluxicon Disco,2016-02-05 19:20:17+00:00
115,Recepcion de documentos,complete,26789,2016-02-06 05:33:26+00:00,Recepcion de documentos,26789,82301,Variant 43,43,Fluxicon Disco,2016-02-05 17:25:26+00:00
116,Homologacion por grupo de cursos,complete,1007,2016-02-06 05:42:52+00:00,Homologacion por grupo de cursos,1007,82301,Variant 43,43,Fluxicon Disco,2016-02-05 17:25:27+00:00
117,Start,complete,Start,2016-02-04 12:47:27+00:00,Start,Start,82503,Variant 1,1,Fluxicon Disco,2016-02-04 12:47:27+00:00
118,Traer informacion estudiante - banner,complete,8528,2016-02-04 12:47:27+00:00,Traer informacion estudiante - banner,8528,82503,Variant 1,1,Fluxicon Disco,2016-02-04 12:47:27+00:00
119,Radicar Solicitud Homologacion,complete,8528,2016-02-04 12:47:36+00:00,Radicar Solicitud Homologacion,8528,82503,Variant 1,1,Fluxicon Disco,2016-02-04 12:47:30+00:00
120,Cancelar Solicitud,complete,8528,2016-02-04 13:06:28+00:00,Cancelar Solicitud,8528,82503,Variant 1,1,Fluxicon Disco,2016-02-04 13:06:17+00:00
121,Notificacion estudiante cancelacion soli,complete,8528,2016-02-04 13:18:12+00:00,Notificacion estudiante cancelacion soli,8528,82503,Variant 1,1,Fluxicon Disco,2016-02-04 13:18:12+00:00
122,End,complete,End,2016-02-04 13:18:12+00:00,End,End,82503,Variant 1,1,Fluxicon Disco,2016-02-04 13:18:12+00:00
123,Start,complete,Start,2016-02-04 13:06:44+00:00,Start,Start,82505,Variant 1,1,Fluxicon Disco,2016-02-04 13:06:44+00:00
124,Traer informacion estudiante - banner,complete,8528,2016-02-04 13:06:44+00:00,Traer informacion estudiante - banner,8528,82505,Variant 1,1,Fluxicon Disco,2016-02-04 13:06:44+00:00
125,Radicar Solicitud Homologacion,complete,8528,2016-02-04 13:06:50+00:00,Radicar Solicitud Homologacion,8528,82505,Variant 1,1,Fluxicon Disco,2016-02-04 13:06:45+00:00
126,Cancelar Solicitud,complete,1707,2016-02-04 13:56:14+00:00,Cancelar Solicitud,1707,82505,Variant 1,1,Fluxicon Disco,2016-02-04 13:12:27+00:00
127,Notificacion estudiante cancelacion soli,complete,1707,2016-02-11 17:15:32+00:00,Notificacion estudiante cancelacion soli,1707,82505,Variant 1,1,Fluxicon Disco,2016-02-11 17:15:32+00:00
128,End,complete,End,2016-02-11 17:15:32+00:00,End,End,82505,Variant 1,1,Fluxicon Disco,2016-02-11 17:15:32+00:00
129,Start,complete,Start,2016-02-04 13:16:32+00:00,Start,Start,82506,Variant 2,2,Fluxicon Disco,2016-02-04 13:16:32+00:00
130,Traer informacion estudiante - banner,complete,2804,2016-02-04 13:16:32+00:00,Traer informacion estudiante - banner,2804,82506,Variant 2,2,Fluxicon Disco,2016-02-04 13:16:32+00:00
131,Radicar Solicitud Homologacion,complete,2804,2016-02-04 13:16:40+00:00,Radicar Solicitud Homologacion,2804,82506,Variant 2,2,Fluxicon Disco,2016-02-04 13:16:33+00:00
132,Validar solicitud,complete,677,2016-02-04 13:40:05+00:00,Validar solicitud,677,82506,Variant 2,2,Fluxicon Disco,2016-02-04 13:24:30+00:00
133,Homologacion por grupo de cursos,complete,3445,2016-02-08 14:24:31+00:00,Homologacion por grupo de cursos,3445,82506,Variant 2,2,Fluxicon Disco,2016-02-08 12:36:31+00:00
134,End,complete,End,2016-02-08 14:24:31+00:00,End,End,82506,Variant 2,2,Fluxicon Disco,2016-02-08 14:24:31+00:00
135,Start,complete,Start,2016-02-04 13:18:19+00:00,Start,Start,82507,Variant 2,2,Fluxicon Disco,2016-02-04 13:18:19+00:00
136,Traer informacion estudiante - banner,complete,8528,2016-02-04 13:18:19+00:00,Traer informacion estudiante - banner,8528,82507,Variant 2,2,Fluxicon Disco,2016-02-04 13:18:19+00:00
137,Radicar Solicitud Homologacion,complete,8528,2016-02-04 13:18:21+00:00,Radicar Solicitud Homologacion,8528,82507,Variant 2,2,Fluxicon Disco,2016-02-04 13:18:20+00:00
138,Validar solicitud,complete,6694,2016-02-04 13:29:27+00:00,Validar solicitud,6694,82507,Variant 2,2,Fluxicon Disco,2016-02-04 13:19:58+00:00
139,Homologacion por grupo de cursos,complete,6990,2016-02-05 17:23:54+00:00,Homologacion por grupo de cursos,6990,82507,Variant 2,2,Fluxicon Disco,2016-02-05 14:49:44+00:00
140,End,complete,End,2016-02-05 17:23:54+00:00,End,End,82507,Variant 2,2,Fluxicon Disco,2016-02-05 17:23:54+00:00
141,Start,complete,Start,2016-02-04 13:24:47+00:00,Start,Start,82508,Variant 2,2,Fluxicon Disco,2016-02-04 13:24:47+00:00
142,Traer informacion estudiante - banner,complete,8528,2016-02-04 13:24:47+00:00,Traer informacion estudiante - banner,8528,82508,Variant 2,2,Fluxicon Disco,2016-02-04 13:24:47+00:00
143,Radicar Solicitud Homologacion,complete,8528,2016-02-04 13:24:57+00:00,Radicar Solicitud Homologacion,8528,82508,Variant 2,2,Fluxicon Disco,2016-02-04 13:24:49+00:00
144,Validar solicitud,complete,1707,2016-02-04 14:17:00+00:00,Validar solicitud,1707,82508,Variant 2,2,Fluxicon Disco,2016-02-04 13:33:34+00:00
145,Homologacion por grupo de cursos,complete,15930,2016-02-11 19:57:32+00:00,Homologacion por grupo de cursos,15930,82508,Variant 2,2,Fluxicon Disco,2016-02-11 17:12:01+00:00
146,End,complete,End,2016-02-11 19:57:32+00:00,End,End,82508,Variant 2,2,Fluxicon Disco,2016-02-11 19:57:32+00:00
147,Start,complete,Start,2016-02-04 19:15:57+00:00,Start,Start,82604,Variant 2,2,Fluxicon Disco,2016-02-04 19:15:57+00:00
148,Traer informacion estudiante - banner,complete,8450,2016-02-04 19:15:57+00:00,Traer informacion estudiante - banner,8450,82604,Variant 2,2,Fluxicon Disco,2016-02-04 19:15:57+00:00
149,Radicar Solicitud Homologacion,complete,8450,2016-02-04 19:16:08+00:00,Radicar Solicitud Homologacion,8450,82604,Variant 2,2,Fluxicon Disco,2016-02-04 19:16:00+00:00
150,Validar solicitud,complete,18929,2016-02-04 21:03:47+00:00,Validar solicitud,18929,82604,Variant 2,2,Fluxicon Disco,2016-02-04 19:24:12+00:00
151,Homologacion por grupo de cursos,complete,18929,2016-02-23 19:50:58+00:00,Homologacion por grupo de cursos,18929,82604,Variant 2,2,Fluxicon Disco,2016-02-23 11:00:08+00:00
152,End,complete,End,2016-02-23 19:50:58+00:00,End,End,82604,Variant 2,2,Fluxicon Disco,2016-02-23 19:50:58+00:00
153,Start,complete,Start,2016-02-04 21:01:04+00:00,Start,Start,82651,Variant 2,2,Fluxicon Disco,2016-02-04 21:01:04+00:00
154,Traer informacion estudiante - banner,complete,2925,2016-02-04 21:01:04+00:00,Traer informacion estudiante - banner,2925,82651,Variant 2,2,Fluxicon Disco,2016-02-04 21:01:04+00:00
155,Radicar Solicitud Homologacion,complete,2925,2016-02-04 21:01:33+00:00,Radicar Solicitud Homologacion,2925,82651,Variant 2,2,Fluxicon Disco,2016-02-04 21:01:08+00:00
156,Validar solicitud,complete,49,2016-02-04 21:50:31+00:00,Validar solicitud,49,82651,Variant 2,2,Fluxicon Disco,2016-02-04 21:26:58+00:00
157,Homologacion por grupo de cursos,complete,2541,2016-02-09 21:01:46+00:00,Homologacion por grupo de cursos,2541,82651,Variant 2,2,Fluxicon Disco,2016-02-09 21:00:18+00:00
158,End,complete,End,2016-02-09 21:01:46+00:00,End,End,82651,Variant 2,2,Fluxicon Disco,2016-02-09 21:01:46+00:00
159,Start,complete,Start,2016-02-04 21:08:03+00:00,Start,Start,82652,Variant 2,2,Fluxicon Disco,2016-02-04 21:08:03+00:00
160,Traer informacion estudiante - banner,complete,3421,2016-02-04 21:08:03+00:00,Traer informacion estudiante - banner,3421,82652,Variant 2,2,Fluxicon Disco,2016-02-04 21:08:03+00:00
161,Radicar Solicitud Homologacion,complete,3421,2016-02-04 21:08:21+00:00,Radicar Solicitud Homologacion,3421,82652,Variant 2,2,Fluxicon Disco,2016-02-04 21:08:04+00:00
162,Validar solicitud,complete,19019,2016-02-04 21:33:13+00:00,Validar solicitud,19019,82652,Variant 2,2,Fluxicon Disco,2016-02-04 21:25:36+00:00
