case_id,activity,resource,start_timestamp,end_timestamp
Case 33,Inbound Call,Kenny,2010-03-08 12:03:00,2010-03-08 12:04:00
Case 34,Inbound Call,Elena,2010-03-14 07:45:00,2010-03-14 07:45:00
Case 34,Inbound Call,Elena,2010-03-14 07:45:00,2010-03-14 07:48:00
Case 35,Inbound Call,Steve,2010-03-18 17:34:00,2010-03-18 17:40:00
Case 36,Inbound Call,Clark,2010-03-22 15:23:00,2010-03-22 15:29:00
Case 37,Inbound Call,Elena,2010-03-11 11:06:00,2010-03-11 11:11:00
Case 38,Inbound Call,Steve,2010-03-18 17:07:00,2010-03-18 17:12:00
Case 38,Handle Case,Mathias,2010-03-19 08:10:00,2010-03-19 08:12:00
Case 38,Inbound Call,Karen,2010-03-19 08:54:00,2010-03-19 08:55:00
Case 38,Inbound Call,Harold,2010-03-19 10:15:00,2010-03-19 10:16:00
Case 38,Inbound Call,Ton,2010-03-20 15:00:00,2010-03-20 15:01:00
Case 39,Inbound Call,Richard,2010-03-08 12:02:00,2010-03-08 12:08:00
Case 40,Inbound Email,Richard,2010-03-22 12:27:00,2010-03-22 13:08:00
Case 40,Email Outbound,Richard,2010-03-22 13:09:00,2010-03-22 13:13:00
Case 40,Email Outbound,Richard,2010-03-22 13:13:00,2010-03-22 13:14:00
Case 41,Inbound Call,Ton,2010-03-26 16:27:00,2010-03-26 16:29:00
Case 41,Handle Case,Ton,2010-03-27 12:27:00,2010-03-27 12:28:00
Case 42,Inbound Call,Christian,2010-03-26 10:03:00,2010-03-26 10:05:00
Case 43,Handle Email,Jochem,2010-03-26 12:20:00,2010-03-26 12:23:00
Case 43,Handle Email,Jochem,2010-03-26 12:27:00,2010-03-26 12:27:00
Case 43,Handle Case,Jochem,2010-03-26 14:43:00,2010-03-26 14:43:00
Case 43,Call Outbound,Jochem,2010-03-26 16:21:00,2010-03-26 16:30:00
Case 43,Handle Case,Jochem,2010-03-27 14:24:00,2010-03-27 14:27:00
Case 43,Call Outbound,Jochem,2010-03-28 16:23:00,2010-03-28 16:35:00
Case 44,Inbound Call,Ton,2010-03-07 14:59:00,2010-03-07 15:04:00
Case 44,Inbound Call,Clark,2010-03-19 17:36:00,2010-03-19 17:37:00
Case 45,Inbound Call,Steffi,2010-03-07 11:14:00,2010-03-07 11:15:00
Case 46,Inbound Call,Clark,2010-03-29 14:14:00,2010-03-29 14:18:00
Case 47,Inbound Call,Barbara,2010-03-25 13:59:00,2010-03-25 14:08:00
Case 47,Inbound Call,Jochem,2010-03-25 16:48:00,2010-03-25 16:53:00
Case 47,Handle Case,Mathias,2010-03-26 10:08:00,2010-03-26 10:10:00
Case 47,Inbound Call,Christian,2010-03-26 14:34:00,2010-03-26 14:37:00
Case 47,Inbound Call,Susi,2010-03-27 07:22:00,2010-03-27 07:23:00
Case 48,Inbound Call,Elena,2010-03-25 08:09:00,2010-03-25 08:11:00
Case 49,Handle Email,Samuil,2010-03-19 07:25:00,2010-03-19 07:27:00
Case 49,Call Outbound,Samuil,2010-03-19 07:34:00,2010-03-19 07:37:00
Case 50,Inbound Call,Johan,2010-03-14 13:02:00,2010-03-14 13:04:00
Case 51,Inbound Email,Mary,2010-03-04 16:54:00,2010-03-06 14:34:00
Case 51,Email Outbound,Mary,2010-03-06 14:35:00,2010-03-06 14:37:00
Case 51,Handle Email,Mary,2010-03-06 14:37:00,2010-03-06 14:37:00
Case 52,Inbound Call,Michael,2010-03-27 17:33:00,2010-03-27 17:37:00
Case 52,Call Outbound,Michael,2010-03-28 11:22:00,2010-03-28 11:24:00
Case 53,Inbound Call,Henk,2010-03-22 10:04:00,2010-03-22 10:07:00
Case 54,Inbound Email,Mariska,2010-03-25 14:49:00,2010-03-26 11:01:00
Case 54,Handle Case,Mariska,2010-03-26 11:01:00,2010-03-26 11:17:00
Case 54,Email Outbound,Mariska,2010-03-26 11:17:00,2010-03-26 11:17:00
Case 55,Inbound Call,Helen,2010-03-09 07:17:00,2010-03-09 07:24:00
Case 56,Inbound Call,Harold,2010-03-06 17:41:00,2010-03-06 17:44:00
Case 56,Inbound Call,Maja,2010-03-08 08:20:00,2010-03-08 08:21:00
Case 56,Inbound Call,Monique,2010-03-08 12:40:00,2010-03-08 12:40:00
Case 56,Inbound Call,Richard,2010-03-19 09:06:00,2010-03-19 09:08:00
Case 56,Inbound Call,Johan,2010-03-25 12:28:00,2010-03-25 12:32:00
Case 56,Inbound Call,Michael,2010-04-01 11:31:00,2010-04-01 11:34:00
Case 56,Inbound Call,Nancy,2010-04-03 13:37:00,2010-04-03 13:37:00
Case 57,Inbound Call,Henk,2010-03-29 08:56:00,2010-03-29 08:58:00
Case 58,Inbound Call,Maja,2010-03-12 10:13:00,2010-03-12 10:14:00
Case 59,Inbound Call,Johan,2010-03-06 11:58:00,2010-03-06 11:59:00
Case 60,Inbound Call,Karen,2010-03-04 14:18:00,2010-03-04 14:19:00
Case 60,Inbound Call,Barbara,2010-03-29 15:34:00,2010-03-29 15:37:00
Case 61,Inbound Call,Susi,2010-03-14 11:14:00,2010-03-14 11:20:00
Case 62,Inbound Call,Henk,2010-03-22 11:34:00,2010-03-22 11:36:00
Case 63,Inbound Call,Karen,2010-03-16 15:16:00,2010-03-16 15:18:00
Case 63,Handle Case,Mathias,2010-03-18 10:07:00,2010-03-18 10:08:00
Case 64,Inbound Call,Samuil,2010-03-08 07:14:00,2010-03-08 07:16:00
Case 65,Inbound Call,Kenny,2010-03-06 09:48:00,2010-03-06 09:49:00
Case 66,Inbound Call,Ton,2010-03-22 14:45:00,2010-03-22 14:48:00
Case 66,Call Outbound,Ton,2010-03-27 10:23:00,2010-03-27 10:25:00
Case 67,Inbound Email,Samuil,2010-03-19 17:11:00,2010-03-20 08:13:00
Case 67,Email Outbound,Samuil,2010-03-20 08:18:00,2010-03-20 08:19:00
Case 67,Handle Email,Samuil,2010-03-20 08:19:00,2010-03-20 08:19:00
Case 67,Handle Email,Samuil,2010-03-21 11:21:00,2010-03-21 11:26:00
Case 68,Inbound Call,Michael,2010-03-25 13:41:00,2010-03-25 13:44:00
Case 69,Inbound Call,Harold,2010-03-18 17:42:00,2010-03-18 18:01:00
Case 70,Inbound Call,Anne,2010-03-07 14:14:00,2010-03-07 14:15:00
Case 71,Inbound Email,Mary,2010-03-12 17:02:00,2010-03-13 12:46:00
Case 71,Email Outbound,Mary,2010-03-13 12:47:00,2010-03-13 12:48:00
Case 71,Email Outbound,Mary,2010-03-13 12:48:00,2010-03-13 12:49:00
Case 72,Inbound Call,Johan,2010-03-06 11:03:00,2010-03-06 11:04:00
Case 73,Inbound Call,Wil,2010-03-08 10:36:00,2010-03-08 10:38:00
Case 74,Inbound Call,Barbara,2010-03-13 17:32:00,2010-03-13 17:45:00
Case 75,Inbound Call,Maja,2010-03-14 10:58:00,2010-03-14 10:59:00
Case 76,Inbound Call,Wil,2010-03-14 07:58:00,2010-03-14 08:02:00
Case 76,Handle Case,Wil,2010-03-26 13:10:00,2010-03-26 13:12:00
Case 77,Inbound Call,Wil,2010-03-26 08:49:00,2010-03-26 08:51:00
Case 77,Inbound Call,Helen,2010-04-05 08:43:00,2010-04-05 08:44:00
Case 78,Inbound Call,Clark,2010-03-11 15:28:00,2010-03-11 15:33:00
Case 79,Inbound Call,Anne,2010-03-28 15:39:00,2010-03-28 15:41:00
Case 80,Inbound Call,Henk,2010-03-22 10:29:00,2010-03-22 10:30:00
Case 81,Inbound Call,Ton,2010-03-02 14:04:00,2010-03-02 14:07:00
Case 82,Inbound Call,Elena,2010-03-29 11:56:00,2010-03-29 12:01:00
Case 83,Inbound Call,Erik,2010-03-22 09:25:00,2010-03-22 09:28:00
Case 84,Inbound Call,Kenny,2010-03-25 10:23:00,2010-03-25 10:38:00
Case 84,Inbound Call,Johan,2010-03-25 11:08:00,2010-03-25 11:11:00
Case 85,Inbound Call,Henk,2010-03-26 08:51:00,2010-03-26 08:52:00
Case 86,Inbound Call,Irena,2010-03-13 07:51:00,2010-03-13 07:53:00
Case 87,Inbound Call,Anne,2010-03-25 17:42:00,2010-03-25 17:46:00
Case 87,Call Outbound,Anne,2010-03-26 13:56:00,2010-03-26 13:57:00
Case 88,Inbound Call,Steve,2010-03-13 14:07:00,2010-03-13 14:13:00
Case 89,Inbound Call,Maja,2010-03-05 09:44:00,2010-03-05 09:47:00
Case 90,Inbound Call,Clark,2010-03-27 14:02:00,2010-03-27 14:21:00
Case 91,Inbound Call,Monique,2010-03-25 15:54:00,2010-03-25 15:55:00
Case 92,Inbound Call,Erik,2010-03-05 08:19:00,2010-03-05 08:24:00
Case 93,Inbound Call,Wil,2010-03-14 13:19:00,2010-03-14 13:21:00
Case 93,Email Outbound,Wil,2010-03-26 13:14:00,2010-03-26 13:14:00
Case 93,Email Outbound,Wil,2010-03-26 13:17:00,2010-03-26 13:18:00
Case 94,Inbound Call,Richard,2010-03-08 09:42:00,2010-03-08 09:42:00
Case 95,Inbound Call,David,2010-03-16 09:28:00,2010-03-16 09:28:00
Case 96,Inbound Call,Irena,2010-03-20 11:28:00,2010-03-20 11:32:00
Case 96,Inbound Call,Jochem,2010-03-20 16:08:00,2010-03-20 16:11:00
Case 96,Inbound Call,Monique,2010-03-21 14:56:00,2010-03-21 14:57:00
Case 97,Inbound Call,Richard,2010-03-26 11:36:00,2010-03-26 11:40:00
Case 98,Inbound Call,Jochem,2010-03-25 15:06:00,2010-03-25 15:07:00
Case 98,Inbound Call,Steffi,2010-03-26 15:34:00,2010-03-26 15:42:00
Case 98,Handle Case,Mathias,2010-03-27 08:26:00,2010-03-27 08:28:00
Case 99,Inbound Call,Johan,2010-03-05 10:00:00,2010-03-05 10:02:00
Case 100,Inbound Call,Karen,2010-03-21 11:25:00,2010-03-21 11:26:00
Case 101,Inbound Call,Christian,2010-03-25 10:33:00,2010-03-25 10:35:00
Case 102,Inbound Call,Samuil,2010-03-29 09:08:00,2010-03-29 09:16:00
Case 103,Inbound Call,Erik,2010-03-22 08:22:00,2010-03-22 08:23:00
Case 104,Inbound Call,Mathias,2010-03-05 12:08:00,2010-03-05 12:10:00
Case 105,Inbound Call,Anne,2010-03-25 10:11:00,2010-03-25 10:14:00
Case 105,Inbound Call,Kenny,2010-03-25 11:21:00,2010-03-25 11:24:00
Case 106,Inbound Call,Erik,2010-03-06 09:14:00,2010-03-06 09:15:00
Case 107,Inbound Call,Karen,2010-03-16 13:54:00,2010-03-16 13:55:00
Case 108,Inbound Call,Susi,2010-03-27 08:23:00,2010-03-27 08:31:00
Case 109,Inbound Call,Monique,2010-03-20 15:09:00,2010-03-20 15:10:00
Case 110,Inbound Email,Mary,2010-03-24 18:41:00,2010-03-25 15:03:00
Case 110,Email Outbound,Mary,2010-03-25 15:07:00,2010-03-25 15:15:00
Case 110,Handle Email,Mary,2010-03-25 15:15:00,2010-03-25 15:15:00
Case 111,Inbound Email,Richard,2010-03-15 10:03:00,2010-03-15 12:28:00
Case 111,Email Outbound,Richard,2010-03-15 12:29:00,2010-03-15 12:38:00
Case 111,Handle Email,Richard,2010-03-15 12:38:00,2010-03-15 12:38:00
Case 111,Inbound Email,Mary,2010-03-16 22:32:00,2010-03-18 16:16:00
Case 111,Handle Email,Mary,2010-03-18 16:16:00,2010-03-18 16:18:00
Case 111,Email Outbound,Mary,2010-03-18 16:18:00,2010-03-18 16:18:00
Case 112,Inbound Call,Elena,2010-03-22 09:26:00,2010-03-22 09:29:00
Case 112,Inbound Call,Steffi,2010-03-22 10:34:00,2010-03-22 10:36:00
Case 113,Inbound Call,Steffi,2010-03-19 15:42:00,2010-03-19 15:48:00
Case 113,Inbound Call,Nancy,2010-03-19 15:58:00,2010-03-19 16:02:00
Case 114,Inbound Call,Nancy,2010-03-20 15:15:00,2010-03-20 15:16:00
Case 115,Inbound Call,Nancy,2010-03-04 15:18:00,2010-03-04 15:20:00
Case 116,Inbound Call,Christian,2010-03-22 18:04:00,2010-03-22 18:07:00
Case 116,Inbound Call,Anne,2010-03-25 15:41:00,2010-03-25 15:47:00
Case 116,Inbound Call,Irena,2010-03-29 11:57:00,2010-03-29 11:59:00
Case 116,Inbound Call,Clark,2010-03-29 15:20:00,2010-03-29 15:21:00
Case 116,Inbound Call,Ton,2010-04-08 09:45:00,2010-04-08 09:47:00
Case 117,Inbound Call,Harold,2010-03-15 18:05:00,2010-03-15 18:06:00
Case 118,Inbound Email,Samuil,2010-03-20 08:09:00,2010-03-21 08:41:00
Case 118,Email Outbound,Samuil,2010-03-21 08:48:00,2010-03-21 08:50:00
Case 118,Handle Email,Samuil,2010-03-21 08:50:00,2010-03-21 08:50:00
Case 118,Handle Email,Samuil,2010-03-22 07:14:00,2010-03-22 07:22:00
Case 118,Call Outbound,Samuil,2010-03-22 07:27:00,2010-03-22 07:28:00
Case 119,Inbound Call,Anne,2010-03-14 16:31:00,2010-03-14 16:33:00
Case 119,Handle Case,Harold,2010-03-15 12:48:00,2010-03-15 12:50:00
Case 119,Handle Case,David,2010-03-18 14:38:00,2010-03-18 14:39:00
Case 119,Call Outbound,Karen,2010-04-08 14:23:00,2010-04-08 14:25:00
Case 119,Call Outbound,Karen,2010-04-11 11:19:00,2010-04-11 11:21:00
Case 120,Inbound Call,Ton,2010-03-14 11:00:00,2010-03-14 11:06:00
Case 120,Inbound Call,Elena,2010-03-25 10:56:00,2010-03-25 10:58:00
Case 120,Handle Case,Elena,2010-03-25 11:01:00,2010-03-25 11:02:00
Case 121,Inbound Call,Maja,2010-03-05 09:27:00,2010-03-05 09:29:00
Case 122,Inbound Call,Elena,2010-03-27 12:50:00,2010-03-27 13:02:00
Case 123,Inbound Call,Erik,2010-03-22 11:10:00,2010-03-22 11:32:00
Case 123,Inbound Call,Nancy,2010-03-22 17:05:00,2010-03-22 17:09:00
Case 124,Inbound Call,Christian,2010-03-22 10:58:00,2010-03-22 11:00:00
Case 125,Inbound Call,Nancy,2010-03-18 14:45:00,2010-03-18 14:47:00
Case 125,Inbound Call,Monique,2010-03-18 15:09:00,2010-03-18 15:09:00
Case 125,Inbound Call,Irena,2010-03-27 09:16:00,2010-03-27 09:18:00
Case 126,Inbound Call,Wil,2010-03-20 09:20:00,2010-03-20 09:24:00
Case 127,Inbound Call,Patrick,2010-03-13 10:05:00,2010-03-13 10:19:00
Case 128,Inbound Call,Susi,2010-03-04 07:25:00,2010-03-04 07:28:00
Case 129,Inbound Call,Ton,2010-03-20 17:40:00,2010-03-20 17:42:00
Case 130,Inbound Email,Mary,2010-03-07 17:36:00,2010-03-08 11:10:00
Case 130,Handle Email,Mary,2010-03-08 11:10:00,2010-03-08 11:11:00
Case 130,Email Outbound,Mary,2010-03-08 11:12:00,2010-03-08 11:12:00
Case 131,Inbound Call,Clark,2010-03-16 07:53:00,2010-03-16 07:54:00
Case 132,Inbound Email,Jochem,2010-03-20 18:10:00,2010-03-21 11:31:00
Case 132,Call Outbound,Jochem,2010-03-21 11:32:00,2010-03-21 11:33:00
Case 132,Email Outbound,Jochem,2010-03-21 11:34:00,2010-03-21 11:36:00
Case 132,Handle Email,Jochem,2010-03-21 11:36:00,2010-03-21 11:36:00
Case 132,Inbound Call,Monique,2010-03-21 16:50:00,2010-03-21 16:52:00
Case 132,Inbound Call,Nancy,2010-03-22 16:18:00,2010-03-22 16:21:00
Case 132,Inbound Call,Christian,2010-03-22 16:28:00,2010-03-22 16:30:00
Case 132,Inbound Call,Fred,2010-03-25 11:29:00,2010-03-25 11:33:00
Case 132,Handle Case,Harold,2010-03-27 14:35:00,2010-03-27 14:38:00
Case 132,Handle Case,Harold,2010-03-28 13:47:00,2010-03-28 13:47:00
Case 132,Handle Case,David,2010-03-29 11:15:00,2010-03-29 11:16:00
Case 132,Handle Case,David,2010-04-01 11:40:00,2010-04-01 11:41:00
Case 132,Handle Case,David,2010-04-11 08:40:00,2010-04-11 08:41:00
Case 132,Handle Case,David,2010-04-11 08:43:00,2010-04-11 08:43:00
Case 133,Inbound Call,Nancy,2010-03-15 15:06:00,2010-03-15 15:08:00
Case 133,Inbound Call,Ton,2010-03-15 15:51:00,2010-03-15 15:58:00
Case 133,Inbound Call,Steve,2010-03-19 16:01:00,2010-03-19 16:05:00
Case 133,Handle Case,Mathias,2010-03-20 08:28:00,2010-03-20 08:30:00
Case 133,Inbound Call,Irena,2010-03-22 08:56:00,2010-03-22 08:57:00
Case 134,Inbound Call,Karen,2010-03-04 15:19:00,2010-03-04 15:22:00
Case 135,Inbound Call,Fred,2010-03-28 11:10:00,2010-03-28 11:15:00
Case 136,Inbound Call,Ton,2010-03-06 16:49:00,2010-03-06 16:51:00
Case 137,Inbound Call,Mary,2010-03-07 11:03:00,2010-03-07 11:04:00
Case 137,Inbound Call,Harold,2010-04-25 16:21:00,2010-04-25 16:22:00
Case 137,Inbound Call,Steve,2010-04-25 16:30:00,2010-04-25 16:34:00
Case 138,Inbound Call,Steffi,2010-03-11 15:38:00,2010-03-11 15:47:00
Case 139,Inbound Call,Kenny,2010-03-13 10:23:00,2010-03-13 10:26:00
Case 140,Inbound Call,Nancy,2010-03-15 15:18:00,2010-03-15 15:21:00
Case 140,Call Outbound,Nancy,2010-03-19 13:30:00,2010-03-19 13:31:00
Case 140,Call Outbound,Nancy,2010-03-19 13:48:00,2010-03-19 13:49:00
Case 140,Handle Case,Nancy,2010-03-20 14:14:00,2010-03-20 14:24:00
Case 140,Handle Case,Nancy,2010-03-28 14:05:00,2010-03-28 14:10:00
Case 140,Inbound Call,Christian,2010-03-28 14:44:00,2010-03-28 14:46:00
Case 141,Inbound Call,Erik,2010-03-14 11:28:00,2010-03-14 11:31:00
Case 141,Inbound Call,Irena,2010-03-15 07:24:00,2010-03-15 07:34:00
Case 141,Inbound Call,Henk,2010-03-18 07:18:00,2010-03-18 07:20:00
Case 142,Inbound Call,Wil,2010-03-07 10:41:00,2010-03-07 10:42:00
Case 142,Inbound Call,Monique,2010-03-07 18:01:00,2010-03-07 18:02:00
Case 142,Inbound Call,Harold,2010-03-07 18:03:00,2010-03-07 18:05:00
Case 142,Handle Case,Helen,2010-03-08 06:26:00,2010-03-08 06:27:00
Case 142,Inbound Call,Fred,2010-03-08 10:13:00,2010-03-08 10:14:00
Case 142,Inbound Call,Susi,2010-03-13 09:31:00,2010-03-13 09:35:00
Case 143,Inbound Email,Samuil,2010-03-12 20:08:00,2010-03-14 10:12:00
Case 143,Call Outbound,Samuil,2010-03-14 10:12:00,2010-03-14 10:13:00
Case 143,Inbound Email,Samuil,2010-03-14 10:14:00,2010-03-14 10:14:00
Case 143,Call Outbound,Samuil,2010-03-15 07:46:00,2010-03-15 07:46:00
Case 143,Handle Email,Samuil,2010-03-19 10:11:00,2010-03-19 10:13:00
Case 143,Call Outbound,Samuil,2010-03-19 10:17:00,2010-03-19 10:18:00
Case 144,Inbound Call,Nancy,2010-03-25 12:20:00,2010-03-25 12:23:00
Case 144,Inbound Call,Michael,2010-03-25 12:36:00,2010-03-25 12:39:00
Case 144,Inbound Call,Cindy,2010-04-19 14:43:00,2010-04-19 14:48:00
Case 145,Inbound Call,Steffi,2010-03-07 09:44:00,2010-03-07 09:45:00
Case 146,Inbound Call,Irena,2010-03-19 09:45:00,2010-03-19 09:50:00
Case 146,Handle Case,Rachel,2010-03-21 08:55:00,2010-03-21 08:56:00
Case 147,Inbound Call,Johan,2010-03-28 08:22:00,2010-03-28 08:25:00
Case 148,Inbound Call,Michael,2010-03-14 10:06:00,2010-03-14 10:08:00
Case 148,Handle Case,Michael,2010-03-15 16:45:00,2010-03-15 16:45:00
Case 148,Call Outbound,Michael,2010-03-20 14:38:00,2010-03-20 14:40:00
Case 149,Inbound Call,Monique,2010-03-23 15:10:00,2010-03-23 15:12:00
Case 150,Inbound Call,Harold,2010-03-27 17:25:00,2010-03-27 17:29:00
Case 151,Inbound Call,Maja,2010-03-05 09:33:00,2010-03-05 09:34:00
Case 152,Inbound Call,Mary,2010-03-06 09:17:00,2010-03-06 09:19:00
Case 153,Inbound Call,Maja,2010-03-19 11:25:00,2010-03-19 11:27:00
Case 154,Inbound Call,Wil,2010-03-04 11:17:00,2010-03-04 11:18:00
Case 155,Inbound Call,Harold,2010-03-09 10:06:00,2010-03-09 10:12:00
Case 156,Inbound Call,Ton,2010-03-15 15:27:00,2010-03-15 15:46:00
Case 157,Handle Case,Barbara,2010-03-25 14:22:00,2010-03-25 14:23:00
Case 158,Inbound Call,Kenny,2010-03-08 10:43:00,2010-03-08 10:56:00
Case 159,Call Outbound,Samuil,2010-03-08 10:08:00,2010-03-08 10:10:00
Case 160,Inbound Call,Steffi,2010-03-07 09:50:00,2010-03-07 09:51:00
Case 160,Inbound Call,Henk,2010-03-07 09:52:00,2010-03-07 09:55:00
Case 160,Inbound Call,Jochem,2010-03-07 09:59:00,2010-03-07 10:01:00
Case 160,Inbound Call,Jochem,2010-03-07 10:01:00,2010-03-07 10:03:00
Case 161,Inbound Call,Wil,2010-03-06 15:30:00,2010-03-06 15:32:00
Case 161,Handle Case,Mathias,2010-03-07 07:32:00,2010-03-07 07:33:00
Case 161,Inbound Call,Wil,2010-03-07 13:21:00,2010-03-07 13:21:00
Case 161,Inbound Call,Ton,2010-03-14 16:27:00,2010-03-14 16:36:00
Case 161,Inbound Call,Ton,2010-04-18 09:47:00,2010-04-18 09:51:00
Case 161,Inbound Call,Ton,2010-04-23 12:13:00,2010-04-23 12:17:00
Case 162,Inbound Call,Ton,2010-03-21 13:24:00,2010-03-21 13:35:00
Case 163,Inbound Call,Clark,2010-03-18 15:03:00,2010-03-18 15:09:00
Case 164,Inbound Call,Wil,2010-03-20 08:06:00,2010-03-20 08:08:00
Case 164,Inbound Call,Christian,2010-03-20 15:54:00,2010-03-20 16:14:00
Case 164,Handle Case,Christian,2010-03-21 13:05:00,2010-03-21 13:05:00
Case 164,Handle Case,Christian,2010-03-25 17:40:00,2010-03-25 17:40:00
Case 164,Inbound Call,Steffi,2010-03-28 16:14:00,2010-03-28 16:22:00
Case 165,Inbound Call,Clark,2010-03-25 17:29:00,2010-03-25 17:32:00
Case 166,Inbound Call,Anne,2010-03-30 09:49:00,2010-03-30 09:50:00
Case 167,Inbound Call,Samuil,2010-03-15 10:09:00,2010-03-15 10:16:00
Case 168,Inbound Call,Christian,2010-03-25 14:18:00,2010-03-25 14:33:00
Case 168,Handle Case,Christian,2010-03-25 15:02:00,2010-03-25 15:14:00
Case 169,Inbound Call,Susi,2010-03-05 10:23:00,2010-03-05 10:27:00
Case 170,Inbound Call,Mathias,2010-03-18 07:10:00,2010-03-18 07:11:00
Case 171,Inbound Email,Richard,2010-03-18 20:44:00,2010-03-19 13:03:00
Case 171,Email Outbound,Richard,2010-03-19 13:12:00,2010-03-19 13:19:00
Case 171,Email Outbound,Richard,2010-03-19 13:19:00,2010-03-19 13:19:00
Case 171,Call Outbound,Richard,2010-03-19 13:20:00,2010-03-19 13:24:00
Case 172,Inbound Call,Richard,2010-03-28 07:42:00,2010-03-28 07:46:00
Case 173,Inbound Call,Ton,2010-03-20 15:18:00,2010-03-20 15:19:00
