case_id,resource,activity_name,start_timestamp,end_timestamp,agent
2,Loan Officer-000002,Assess loan risk,2023-02-09 11:53:18.768000+00:00,2023-02-09 12:13:18.768000+00:00,12
2,Loan Officer-000004,Design loan offer,2023-02-09 12:13:18.768000+00:00,2023-02-09 12:38:42.587000+00:00,16
2,Senior Officer-000001,Approve loan offer,2023-02-09 12:38:42.587000+00:00,2023-02-09 12:58:42.587000+00:00,14
2,Clerk-000008,Cancel application,2023-02-09 12:58:42.587000+00:00,2023-02-09 13:03:42.587000+00:00,10
3,Clerk-000007,Check application form completeness,2023-02-09 09:30:00+00:00,2023-02-09 09:39:10.904000+00:00,9
3,Clerk-000008,Check credit history,2023-02-09 09:39:10.904000+00:00,2023-02-09 09:55:01.283000+00:00,10
3,Appraiser-000001,Appraise property,2023-02-09 09:39:10.904000+00:00,2023-02-09 10:52:37.300000+00:00,8
3,AML Investigator-000002,AML check,2023-02-09 10:21:13.295000+00:00,2023-02-09 10:50:57.177000+00:00,13
3,Loan Officer-000001,Assess loan risk,2023-02-09 10:52:37.300000+00:00,2023-02-09 11:12:37.300000+00:00,11
3,Clerk-000008,Reject application,2023-02-09 11:12:37.300000+00:00,2023-02-09 11:22:37.300000+00:00,10
4,Clerk-000001,Check application form completeness,2023-02-09 10:00:00+00:00,2023-02-09 10:35:22.185000+00:00,0
4,Appraiser-000002,Appraise property,2023-02-09 10:35:22.185000+00:00,2023-02-09 10:39:05.270000+00:00,3
4,Clerk-000005,Check credit history,2023-02-09 10:35:22.185000+00:00,2023-02-09 10:58:54.100000+00:00,4
4,AML Investigator-000002,AML check,2023-02-09 10:50:57.177000+00:00,2023-02-09 12:06:25.681000+00:00,13
4,Loan Officer-000003,Assess loan risk,2023-02-09 12:06:25.681000+00:00,2023-02-09 12:26:25.681000+00:00,15
4,Loan Officer-000003,Design loan offer,2023-02-09 12:26:25.681000+00:00,2023-02-09 12:44:41.714000+00:00,15
4,Senior Officer-000001,Approve loan offer,2023-02-09 12:58:42.587000+00:00,2023-02-09 13:18:42.587000+00:00,14
4,Clerk-000005,Cancel application,2023-02-09 13:18:42.587000+00:00,2023-02-09 13:23:42.587000+00:00,4
5,Clerk-000002,Check application form completeness,2023-02-09 10:30:00+00:00,2023-02-09 10:36:24.140000+00:00,2
5,Clerk-000006,Check credit history,2023-02-09 10:36:24.140000+00:00,2023-02-09 10:38:03.030000+00:00,5
5,Appraiser-000002,Appraise property,2023-02-09 10:39:05.270000+00:00,2023-02-09 10:40:31.540000+00:00,3
5,AML Investigator-000001,AML check,2023-02-09 11:53:18.768000+00:00,2023-02-09 12:17:39.957000+00:00,7
5,Loan Officer-000001,Assess loan risk,2023-02-09 12:17:39.957000+00:00,2023-02-09 12:37:39.957000+00:00,11
5,Loan Officer-000004,Design loan offer,2023-02-09 12:38:42.587000+00:00,2023-02-09 12:39:44.264000+00:00,16
5,Senior Officer-000002,Approve loan offer,2023-02-09 12:39:44.264000+00:00,2023-02-09 12:59:44.264000+00:00,17
5,Clerk-000001,Cancel application,2023-02-09 12:59:44.264000+00:00,2023-02-09 13:04:44.264000+00:00,0
6,Clerk-000004,Check application form completeness,2023-02-09 11:00:00+00:00,2023-02-09 11:12:56.289000+00:00,6
6,Appraiser-000002,Appraise property,2023-02-09 11:12:56.289000+00:00,2023-02-09 11:19:48.701000+00:00,3
6,Clerk-000003,Check credit history,2023-02-09 11:12:56.289000+00:00,2023-02-09 11:21:56.123000+00:00,1
6,AML Investigator-000002,AML check,2023-02-09 12:06:25.681000+00:00,2023-02-09 12:19:49.524000+00:00,13
6,Loan Officer-000002,Assess loan risk,2023-02-09 12:19:49.524000+00:00,2023-02-09 12:39:49.524000+00:00,12
6,Loan Officer-000004,Design loan offer,2023-02-09 12:39:49.524000+00:00,2023-02-09 12:41:26.757000+00:00,16
6,Senior Officer-000002,Approve loan offer,2023-02-09 12:59:44.264000+00:00,2023-02-09 13:19:44.264000+00:00,17
6,Clerk-000007,Approve application,2023-02-09 13:19:44.264000+00:00,2023-02-09 13:24:44.264000+00:00,9
7,Clerk-000001,Check application form completeness,2023-02-09 11:30:00+00:00,2023-02-09 11:54:20.729000+00:00,0
7,Appraiser-000001,Appraise property,2023-02-09 11:54:20.729000+00:00,2023-02-09 12:03:56.790000+00:00,8
7,Clerk-000002,Check credit history,2023-02-09 11:54:20.729000+00:00,2023-02-09 12:29:41.564000+00:00,2
7,AML Investigator-000001,AML check,2023-02-09 12:17:39.957000+00:00,2023-02-09 12:41:17.220000+00:00,7
7,Loan Officer-000002,Assess loan risk,2023-02-09 12:41:17.220000+00:00,2023-02-09 13:01:17.220000+00:00,12
7,Loan Officer-000004,Design loan offer,2023-02-09 13:01:17.220000+00:00,2023-02-09 13:04:26.623000+00:00,16
7,Senior Officer-000001,Approve loan offer,2023-02-09 13:18:42.587000+00:00,2023-02-09 13:38:42.587000+00:00,14
7,Clerk-000008,Cancel application,2023-02-09 13:38:42.587000+00:00,2023-02-09 13:43:42.587000+00:00,10
8,Clerk-000006,Check application form completeness,2023-02-09 12:00:00+00:00,2023-02-09 12:15:30.017000+00:00,5
8,Appraiser-000002,Appraise property,2023-02-09 12:15:30.017000+00:00,2023-02-09 12:25:30.807000+00:00,3
8,Clerk-000005,Check credit history,2023-02-09 12:15:30.017000+00:00,2023-02-09 12:34:32.220000+00:00,4
8,AML Investigator-000002,AML check,2023-02-09 12:19:49.524000+00:00,2023-02-09 12:24:59.568000+00:00,13
8,Loan Officer-000001,Assess loan risk,2023-02-09 12:37:39.957000+00:00,2023-02-09 12:57:39.957000+00:00,11
8,Clerk-000003,Reject application,2023-02-09 12:57:39.957000+00:00,2023-02-09 13:07:39.957000+00:00,1
9,Clerk-000007,Check application form completeness,2023-02-09 12:30:00+00:00,2023-02-09 12:44:36.643000+00:00,9
9,Clerk-000004,Check credit history,2023-02-09 12:44:36.643000+00:00,2023-02-09 12:52:02.753000+00:00,6
9,Appraiser-000001,Appraise property,2023-02-09 12:44:36.643000+00:00,2023-02-09 13:00:44.709000+00:00,8
9,AML Investigator-000002,AML check,2023-02-09 12:44:36.643000+00:00,2023-02-09 13:08:30.884000+00:00,13
9,Loan Officer-000003,Assess loan risk,2023-02-09 13:08:30.884000+00:00,2023-02-09 13:28:30.884000+00:00,15
9,Loan Officer-000001,Design loan offer,2023-02-09 13:28:30.884000+00:00,2023-02-09 13:32:20.188000+00:00,11
9,Senior Officer-000002,Approve loan offer,2023-02-09 13:32:20.188000+00:00,2023-02-09 13:52:20.188000+00:00,17
9,Clerk-000003,Approve application,2023-02-09 13:52:20.188000+00:00,2023-02-09 13:57:20.188000+00:00,1
10,Clerk-000006,Check application form completeness,2023-02-09 13:00:00+00:00,2023-02-09 13:08:51.232000+00:00,5
10,Clerk-000002,Check credit history,2023-02-09 13:08:51.232000+00:00,2023-02-09 13:12:14.665000+00:00,2
10,Appraiser-000002,Appraise property,2023-02-09 13:08:51.232000+00:00,2023-02-09 13:29:47.376000+00:00,3
10,AML Investigator-000001,AML check,2023-02-09 13:08:51.232000+00:00,2023-02-09 13:50:42.043000+00:00,7
10,Loan Officer-000002,Assess loan risk,2023-02-09 13:50:42.043000+00:00,2023-02-09 14:10:42.043000+00:00,12
10,Clerk-000002,Reject application,2023-02-09 14:10:42.043000+00:00,2023-02-09 14:20:42.043000+00:00,2
11,Clerk-000004,Check application form completeness,2023-02-09 13:30:00+00:00,2023-02-09 13:44:17.420000+00:00,6
11,AML Investigator-000002,AML check,2023-02-09 13:44:17.420000+00:00,2023-02-09 13:46:33.458000+00:00,13
11,Appraiser-000001,Appraise property,2023-02-09 13:44:17.420000+00:00,2023-02-09 14:09:54.717000+00:00,8
11,Clerk-000001,Check credit history,2023-02-09 13:44:17.420000+00:00,2023-02-09 14:26:39.960000+00:00,0
11,Loan Officer-000004,Assess loan risk,2023-02-09 14:26:39.960000+00:00,2023-02-09 14:46:39.960000+00:00,16
11,Loan Officer-000003,Design loan offer,2023-02-09 14:46:39.960000+00:00,2023-02-09 14:49:11.266000+00:00,15
11,Senior Officer-000001,Approve loan offer,2023-02-09 14:49:11.266000+00:00,2023-02-10 07:09:11.266000+00:00,14
11,Clerk-000004,Approve application,2023-02-10 07:09:11.266000+00:00,2023-02-10 07:14:11.266000+00:00,6
12,Clerk-000006,Check application form completeness,2023-02-09 14:00:00+00:00,2023-02-09 14:21:12.415000+00:00,5
12,AML Investigator-000002,AML check,2023-02-09 14:21:12.415000+00:00,2023-02-09 14:31:10.549000+00:00,13
12,Clerk-000005,Check credit history,2023-02-09 14:21:12.415000+00:00,2023-02-09 14:43:43.714000+00:00,4
12,Appraiser-000002,Appraise property,2023-02-09 14:21:12.415000+00:00,2023-02-09 14:51:08.645000+00:00,3
12,Loan Officer-000001,Assess loan risk,2023-02-09 14:51:08.645000+00:00,2023-02-10 07:11:08.645000+00:00,11
12,Loan Officer-000002,Design loan offer,2023-02-10 07:11:08.645000+00:00,2023-02-10 07:12:05.191000+00:00,12
12,Senior Officer-000002,Approve loan offer,2023-02-10 07:12:05.191000+00:00,2023-02-10 07:32:05.191000+00:00,17
12,Clerk-000006,Approve application,2023-02-10 07:32:05.191000+00:00,2023-02-10 07:37:05.191000+00:00,5
13,Clerk-000007,Check application form completeness,2023-02-09 14:30:00+00:00,2023-02-10 07:42:33.186000+00:00,9
13,Clerk-000005,Return application back to applicant,2023-02-10 07:42:33.186000+00:00,2023-02-10 07:47:33.186000+00:00,4
13,Applicant-000001,Applicant completes form,2023-02-10 07:47:33.186000+00:00,2023-02-10 08:47:33.186000+00:00,18
13,Clerk-000007,Check application form completeness,2023-02-10 08:47:33.186000+00:00,2023-02-10 09:07:57.007000+00:00,9
13,Clerk-000004,Check credit history,2023-02-10 09:07:57.007000+00:00,2023-02-10 09:16:48.261000+00:00,6
13,AML Investigator-000002,AML check,2023-02-10 09:07:57.007000+00:00,2023-02-10 09:47:01.830000+00:00,13
13,Appraiser-000002,Appraise property,2023-02-10 09:07:57.007000+00:00,2023-02-10 09:59:18.744000+00:00,3
13,Loan Officer-000004,Assess loan risk,2023-02-10 09:59:18.744000+00:00,2023-02-10 10:19:18.744000+00:00,16
13,Loan Officer-000001,Design loan offer,2023-02-10 10:19:18.744000+00:00,2023-02-10 10:22:26.346000+00:00,11
13,Senior Officer-000002,Approve loan offer,2023-02-10 10:22:26.346000+00:00,2023-02-10 10:42:26.346000+00:00,17
13,Clerk-000003,Approve application,2023-02-10 10:42:26.346000+00:00,2023-02-10 10:47:26.346000+00:00,1
14,Clerk-000008,Check application form completeness,2023-02-09 15:00:00+00:00,2023-02-10 07:25:02.611000+00:00,10
14,AML Investigator-000001,AML check,2023-02-10 07:25:02.611000+00:00,2023-02-10 07:32:40.898000+00:00,7
14,Appraiser-000001,Appraise property,2023-02-10 07:25:02.611000+00:00,2023-02-10 07:35:00.307000+00:00,8
14,Clerk-000003,Check credit history,2023-02-10 07:25:02.611000+00:00,2023-02-10 07:42:17.493000+00:00,1
14,Loan Officer-000004,Assess loan risk,2023-02-10 07:42:17.493000+00:00,2023-02-10 08:02:17.493000+00:00,16
14,Clerk-000008,Reject application,2023-02-10 08:02:17.493000+00:00,2023-02-10 08:12:17.493000+00:00,10
15,Clerk-000002,Check application form completeness,2023-02-10 07:30:00+00:00,2023-02-10 07:39:18.659000+00:00,2
15,Appraiser-000002,Appraise property,2023-02-10 07:39:18.659000+00:00,2023-02-10 07:55:16.357000+00:00,3
15,AML Investigator-000002,AML check,2023-02-10 07:39:18.659000+00:00,2023-02-10 08:05:06.931000+00:00,13
15,Clerk-000001,Check credit history,2023-02-10 07:39:18.659000+00:00,2023-02-10 08:06:38.873000+00:00,0
15,Loan Officer-000003,Assess loan risk,2023-02-10 08:06:38.873000+00:00,2023-02-10 08:26:38.873000+00:00,15
15,Clerk-000002,Reject application,2023-02-10 08:26:38.873000+00:00,2023-02-10 08:36:38.873000+00:00,2
16,Clerk-000004,Check application form completeness,2023-02-10 08:00:00+00:00,2023-02-10 08:04:08.094000+00:00,6
16,Clerk-000006,Check credit history,2023-02-10 08:04:08.094000+00:00,2023-02-10 08:12:50.966000+00:00,5
16,AML Investigator-000001,AML check,2023-02-10 08:04:08.094000+00:00,2023-02-10 08:21:12.906000+00:00,7
16,Appraiser-000001,Appraise property,2023-02-10 08:04:08.094000+00:00,2023-02-10 08:37:51.821000+00:00,8
16,Loan Officer-000001,Assess loan risk,2023-02-10 08:37:51.821000+00:00,2023-02-10 08:57:51.821000+00:00,11
16,Loan Officer-000002,Design loan offer,2023-02-10 08:57:51.821000+00:00,2023-02-10 09:08:46.942000+00:00,12
16,Senior Officer-000001,Approve loan offer,2023-02-10 09:08:46.942000+00:00,2023-02-10 09:28:46.942000+00:00,14
16,Clerk-000008,Approve application,2023-02-10 09:28:46.942000+00:00,2023-02-10 09:33:46.942000+00:00,10
17,Clerk-000003,Check application form completeness,2023-02-10 08:30:00+00:00,2023-02-10 09:49:48.271000+00:00,1
17,AML Investigator-000001,AML check,2023-02-10 09:49:48.271000+00:00,2023-02-10 10:11:37.661000+00:00,7
17,Clerk-000002,Check credit history,2023-02-10 09:49:48.271000+00:00,2023-02-10 11:28:15.800000+00:00,2
17,Appraiser-000002,Appraise property,2023-02-10 09:59:18.744000+00:00,2023-02-10 10:04:07+00:00,3
17,Loan Officer-000004,Assess loan risk,2023-02-10 11:28:15.800000+00:00,2023-02-10 11:48:15.800000+00:00,16
17,Loan Officer-000003,Design loan offer,2023-02-10 11:48:15.800000+00:00,2023-02-10 11:51:17.047000+00:00,15
17,Senior Officer-000001,Approve loan offer,2023-02-10 11:51:17.047000+00:00,2023-02-10 12:11:17.047000+00:00,14
17,Clerk-000002,Cancel application,2023-02-10 12:11:17.047000+00:00,2023-02-10 12:16:17.047000+00:00,2
18,Clerk-000005,Check application form completeness,2023-02-10 09:00:00+00:00,2023-02-10 09:19:36.335000+00:00,4
18,AML Investigator-000001,AML check,2023-02-10 09:19:36.335000+00:00,2023-02-10 09:31:14.054000+00:00,7
18,Clerk-000001,Check credit history,2023-02-10 09:19:36.335000+00:00,2023-02-10 09:34:28.107000+00:00,0
18,Appraiser-000001,Appraise property,2023-02-10 09:19:36.335000+00:00,2023-02-10 10:06:35.679000+00:00,8
18,Loan Officer-000003,Assess loan risk,2023-02-10 10:06:35.679000+00:00,2023-02-10 10:26:35.679000+00:00,15
18,Loan Officer-000002,Design loan offer,2023-02-10 10:26:35.679000+00:00,2023-02-10 10:43:17.476000+00:00,12
18,Senior Officer-000001,Approve loan offer,2023-02-10 10:43:17.476000+00:00,2023-02-10 11:03:17.476000+00:00,14
18,Clerk-000007,Cancel application,2023-02-10 11:03:17.476000+00:00,2023-02-10 11:08:17.476000+00:00,9
19,Clerk-000006,Check application form completeness,2023-02-10 09:30:00+00:00,2023-02-10 10:06:40.931000+00:00,5
19,AML Investigator-000002,AML check,2023-02-10 10:06:40.931000+00:00,2023-02-10 10:11:22.495000+00:00,13
19,Clerk-000004,Check credit history,2023-02-10 10:06:40.931000+00:00,2023-02-10 11:02:33.205000+00:00,6
19,Appraiser-000002,Appraise property,2023-02-10 10:06:40.931000+00:00,2023-02-10 11:23:44.233000+00:00,3
19,Loan Officer-000003,Assess loan risk,2023-02-10 11:23:44.233000+00:00,2023-02-10 11:43:44.233000+00:00,15
19,Clerk-000004,Reject application,2023-02-10 11:43:44.233000+00:00,2023-02-10 11:53:44.233000+00:00,6
20,Clerk-000007,Check application form completeness,2023-02-10 10:00:00+00:00,2023-02-10 10:16:55.378000+00:00,9
20,AML Investigator-000002,AML check,2023-02-10 10:16:55.378000+00:00,2023-02-10 10:26:52.236000+00:00,13
20,Clerk-000005,Check credit history,2023-02-10 10:16:55.378000+00:00,2023-02-10 10:29:20.379000+00:00,4
20,Appraiser-000001,Appraise property,2023-02-10 10:16:55.378000+00:00,2023-02-10 10:35:16.846000+00:00,8
20,Loan Officer-000004,Assess loan risk,2023-02-10 10:35:16.846000+00:00,2023-02-10 10:55:16.846000+00:00,16
20,Loan Officer-000001,Design loan offer,2023-02-10 10:55:16.846000+00:00,2023-02-10 10:57:20.178000+00:00,11
20,Senior Officer-000002,Approve loan offer,2023-02-10 10:57:20.178000+00:00,2023-02-10 11:17:20.178000+00:00,17
20,Clerk-000008,Approve application,2023-02-10 11:17:20.178000+00:00,2023-02-10 11:22:20.178000+00:00,10
21,Clerk-000008,Check application form completeness,2023-02-10 10:30:00+00:00,2023-02-10 10:40:41.305000+00:00,10
21,AML Investigator-000001,AML check,2023-02-10 10:40:41.305000+00:00,2023-02-10 10:53:55.853000+00:00,7
21,Appraiser-000001,Appraise property,2023-02-10 10:40:41.305000+00:00,2023-02-10 11:00:40.525000+00:00,8
21,Clerk-000001,Check credit history,2023-02-10 10:40:41.305000+00:00,2023-02-10 11:31:49.197000+00:00,0
21,Loan Officer-000001,Assess loan risk,2023-02-10 11:31:49.197000+00:00,2023-02-10 11:51:49.197000+00:00,11
21,Loan Officer-000002,Design loan offer,2023-02-10 11:51:49.197000+00:00,2023-02-10 11:52:10.264000+00:00,12
21,Senior Officer-000002,Approve loan offer,2023-02-10 11:52:10.264000+00:00,2023-02-10 12:12:10.264000+00:00,17
21,Clerk-000001,Cancel application,2023-02-10 12:12:10.264000+00:00,2023-02-10 12:17:10.264000+00:00,0
22,Clerk-000006,Check application form completeness,2023-02-10 11:00:00+00:00,2023-02-10 11:03:48.570000+00:00,5
22,AML Investigator-000002,AML check,2023-02-10 11:03:48.570000+00:00,2023-02-10 11:13:27.797000+00:00,13
22,Clerk-000005,Check credit history,2023-02-10 11:03:48.570000+00:00,2023-02-10 11:15:00.422000+00:00,4
22,Appraiser-000001,Appraise property,2023-02-10 11:03:48.570000+00:00,2023-02-10 11:24:23.507000+00:00,8
22,Loan Officer-000002,Assess loan risk,2023-02-10 11:24:23.507000+00:00,2023-02-10 11:44:23.507000+00:00,12
22,Clerk-000006,Reject application,2023-02-10 11:44:23.507000+00:00,2023-02-10 11:54:23.507000+00:00,5
23,Clerk-000003,Check application form completeness,2023-02-10 11:30:00+00:00,2023-02-10 11:46:26.975000+00:00,1
23,Clerk-000007,Check credit history,2023-02-10 11:46:26.975000+00:00,2023-02-10 11:54:12.325000+00:00,9
23,AML Investigator-000001,AML check,2023-02-10 11:46:26.975000+00:00,2023-02-10 11:56:10.417000+00:00,7
23,Appraiser-000002,Appraise property,2023-02-10 11:46:26.975000+00:00,2023-02-10 12:00:36.976000+00:00,3
23,Loan Officer-000004,Assess loan risk,2023-02-10 12:00:36.976000+00:00,2023-02-10 12:20:36.976000+00:00,16
23,Loan Officer-000003,Design loan offer,2023-02-10 12:20:36.976000+00:00,2023-02-10 12:50:46.380000+00:00,15
23,Senior Officer-000001,Approve loan offer,2023-02-10 12:50:46.380000+00:00,2023-02-10 13:10:46.380000+00:00,14
23,Clerk-000006,Approve application,2023-02-10 13:10:46.380000+00:00,2023-02-10 13:15:46.380000+00:00,5
24,Clerk-000005,Check application form completeness,2023-02-10 12:00:00+00:00,2023-02-10 12:03:00.320000+00:00,4
24,Appraiser-000001,Appraise property,2023-02-10 12:03:00.320000+00:00,2023-02-10 12:08:23.469000+00:00,8
24,Clerk-000008,Check credit history,2023-02-10 12:03:00.320000+00:00,2023-02-10 12:22:14.175000+00:00,10
24,AML Investigator-000002,AML check,2023-02-10 12:03:00.320000+00:00,2023-02-10 13:51:00.198000+00:00,13
24,Loan Officer-000004,Assess loan risk,2023-02-10 13:51:00.198000+00:00,2023-02-10 14:11:00.198000+00:00,16
24,Loan Officer-000002,Design loan offer,2023-02-10 14:11:00.198000+00:00,2023-02-10 14:11:02.808000+00:00,12
24,Senior Officer-000001,Approve loan offer,2023-02-10 14:11:02.808000+00:00,2023-02-10 14:31:02.808000+00:00,14
24,Clerk-000005,Approve application,2023-02-10 14:31:02.808000+00:00,2023-02-10 14:36:02.808000+00:00,4
25,Clerk-000003,Check application form completeness,2023-02-10 12:30:00+00:00,2023-02-10 12:54:44.247000+00:00,1
25,Clerk-000004,Check credit history,2023-02-10 12:54:44.247000+00:00,2023-02-10 12:56:16.682000+00:00,6
25,Appraiser-000002,Appraise property,2023-02-10 12:54:44.247000+00:00,2023-02-10 13:00:13.872000+00:00,3
25,AML Investigator-000001,AML check,2023-02-10 12:54:44.247000+00:00,2023-02-10 13:33:09.234000+00:00,7
25,Loan Officer-000001,Assess loan risk,2023-02-10 13:33:09.234000+00:00,2023-02-10 13:53:09.234000+00:00,11
25,Clerk-000001,Reject application,2023-02-10 13:53:09.234000+00:00,2023-02-10 14:03:09.234000+00:00,0
26,Clerk-000007,Check application form completeness,2023-02-10 13:00:00+00:00,2023-02-10 13:29:07.377000+00:00,9
26,Clerk-000005,Check credit history,2023-02-10 13:29:07.377000+00:00,2023-02-10 13:35:58.313000+00:00,4
26,Appraiser-000001,Appraise property,2023-02-10 13:29:07.377000+00:00,2023-02-10 13:44:23.941000+00:00,8
26,AML Investigator-000001,AML check,2023-02-10 13:33:09.234000+00:00,2023-02-10 13:34:36.796000+00:00,7
26,Loan Officer-000002,Assess loan risk,2023-02-10 13:44:23.941000+00:00,2023-02-10 14:04:23.941000+00:00,12
26,Loan Officer-000003,Design loan offer,2023-02-10 14:04:23.941000+00:00,2023-02-10 14:10:13.620000+00:00,15
26,Senior Officer-000002,Approve loan offer,2023-02-10 14:10:13.620000+00:00,2023-02-10 14:30:13.620000+00:00,17
26,Clerk-000007,Cancel application,2023-02-10 14:30:13.620000+00:00,2023-02-10 14:35:13.620000+00:00,9
27,Clerk-000002,Check application form completeness,2023-02-10 13:30:00+00:00,2023-02-10 13:53:24.303000+00:00,2
27,Appraiser-000002,Appraise property,2023-02-10 13:53:24.303000+00:00,2023-02-10 14:00:22.425000+00:00,3
27,Clerk-000008,Check credit history,2023-02-10 13:53:24.303000+00:00,2023-02-10 14:01:52.816000+00:00,10
27,AML Investigator-000001,AML check,2023-02-10 13:53:24.303000+00:00,2023-02-10 14:06:11.525000+00:00,7
27,Loan Officer-000001,Assess loan risk,2023-02-10 14:06:11.525000+00:00,2023-02-10 14:26:11.525000+00:00,11
27,Loan Officer-000003,Design loan offer,2023-02-10 14:26:11.525000+00:00,2023-02-10 14:39:44.835000+00:00,15
27,Senior Officer-000002,Approve loan offer,2023-02-10 14:39:44.835000+00:00,2023-02-10 14:59:44.835000+00:00,17
27,Clerk-000003,Cancel application,2023-02-10 14:59:44.835000+00:00,2023-02-13 07:04:44.835000+00:00,1
28,Clerk-000003,Check application form completeness,2023-02-10 14:00:00+00:00,2023-02-10 14:00:13.365000+00:00,1
28,AML Investigator-000002,AML check,2023-02-10 14:00:13.365000+00:00,2023-02-10 14:06:35.120000+00:00,13
28,Appraiser-000001,Appraise property,2023-02-10 14:00:13.365000+00:00,2023-02-10 14:46:42.095000+00:00,8
28,Clerk-000004,Check credit history,2023-02-10 14:00:13.365000+00:00,2023-02-10 14:48:02.585000+00:00,6
28,Loan Officer-000004,Assess loan risk,2023-02-10 14:48:02.585000+00:00,2023-02-13 07:08:02.585000+00:00,16
28,Clerk-000001,Reject application,2023-02-13 07:08:02.585000+00:00,2023-02-13 07:18:02.585000+00:00,0
29,Clerk-000006,Check application form completeness,2023-02-10 14:30:00+00:00,2023-02-10 14:51:02.526000+00:00,5
29,AML Investigator-000001,AML check,2023-02-10 14:51:02.526000+00:00,2023-02-10 14:57:28.989000+00:00,7
29,Clerk-000002,Check credit history,2023-02-10 14:51:02.526000+00:00,2023-02-13 07:01:23.530000+00:00,2
29,Appraiser-000002,Appraise property,2023-02-10 14:51:02.526000+00:00,2023-02-13 07:15:05.575000+00:00,3
29,Loan Officer-000002,Assess loan risk,2023-02-13 07:15:05.575000+00:00,2023-02-13 07:35:05.575000+00:00,12
29,Clerk-000004,Reject application,2023-02-13 07:35:05.575000+00:00,2023-02-13 07:45:05.575000+00:00,6
30,Clerk-000008,Check application form completeness,2023-02-10 15:00:00+00:00,2023-02-13 07:10:18.825000+00:00,10
30,Appraiser-000001,Appraise property,2023-02-13 07:10:18.825000+00:00,2023-02-13 07:18:03.817000+00:00,8
30,AML Investigator-000002,AML check,2023-02-13 07:10:18.825000+00:00,2023-02-13 07:24:58.642000+00:00,13
30,Clerk-000007,Check credit history,2023-02-13 07:10:18.825000+00:00,2023-02-13 08:22:08.684000+00:00,9
30,Loan Officer-000003,Assess loan risk,2023-02-13 08:22:08.684000+00:00,2023-02-13 08:42:08.684000+00:00,15
30,Loan Officer-000002,Design loan offer,2023-02-13 08:42:08.684000+00:00,2023-02-13 08:53:01.615000+00:00,12
30,Senior Officer-000001,Approve loan offer,2023-02-13 08:53:01.615000+00:00,2023-02-13 09:13:01.615000+00:00,14
30,Clerk-000006,Cancel application,2023-02-13 09:13:01.615000+00:00,2023-02-13 09:18:01.615000+00:00,5
31,Clerk-000005,Check application form completeness,2023-02-13 07:30:00+00:00,2023-02-13 07:37:15.326000+00:00,4
31,AML Investigator-000001,AML check,2023-02-13 07:37:15.326000+00:00,2023-02-13 07:40:40.216000+00:00,7
31,Appraiser-000002,Appraise property,2023-02-13 07:37:15.326000+00:00,2023-02-13 07:49:28.056000+00:00,3
31,Clerk-000006,Check credit history,2023-02-13 07:37:15.326000+00:00,2023-02-13 07:59:58.349000+00:00,5
